name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Emmachi Biriyani,"AMS Complex, SH28, Nilambur, Kerala 679329",097458 45445,"https://www.google.com/maps/place/Emmachi+Biriyani/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63bd5c30afd5d:0xf7fef66332c446e9!8m2!3d11.2747218!4d76.2244642!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVEKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGzrGHVEvgHc_z3Eo2trBnJYS0hcE4meKfG9DTzIUEAIiEGJpcnlhbmkgbmlsYW1idXLgAQA!16s%2Fg%2F11frl834wz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",Claim this business,Biryani restaurant,Specialty_Food,4.7,293.0,₹1–200,Opens 11am Mon,⋅ Opens 11am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:02
Bapsys Biriyani Center,"New bustand, Nilambur, Kerala 679329",080898 98975,"https://www.google.com/maps/place/Bapsys+Biriyani+Center/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63b761f691a79:0xe6dae59cd188710d!8m2!3d11.2751151!4d76.2249889!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVEKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGzrGHVEvgHc_z3Eo2trBnJYS0hcE4meKfG9DTzIUEAIiEGJpcnlhbmkgbmlsYW1idXLgAQA!16s%2Fg%2F11gbfp0c2l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Biryani restaurant,Specialty_Food,4.3,176.0,₹1–200,Opens 11am Mon,Closed ⋅ Opens 11am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:07
"Muzwalla Grill & Mandi, Nilambur","Janathappadi,opposit Little flower school, Mysuru - Ooty Rd, Nilambur, Kerala 679334",080781 00555,"https://www.google.com/maps/place/Muzwalla+Grill+%26+Mandi,+Nilambur/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63b3799007c9b:0x4bb385b59f42840a!8m2!3d11.2817176!4d76.2321628!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA!16s%2Fg%2F11n1txd6xb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Restaurant,Specialty_Food,4.4,1073.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:12
FARSA RESTAURANT NILAMBUR,"Nilambur, Kerala 679329",085568 88666,"https://www.google.com/maps/place/FARSA+RESTAURANT+NILAMBUR/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63bf6e55a0471:0x411372a5620ee003!8m2!3d11.2692232!4d76.2150533!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudKoBUQoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbOsYdUS-Adz_PcSja2sGclhLSFwTiZ4p8b0NPMhQQAiIQYmlyeWFuaSBuaWxhbWJ1cuABAA!16s%2Fg%2F11pb1bn4c0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",farsagroup.com,Indian restaurant,Specialty_Food,4.1,3707.0,₹1–200,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:16
"Union Restaurant, Nilambur","Main road, Nilambur, Kerala 679329",04931 221 861,"https://www.google.com/maps/place/Union+Restaurant,+Nilambur/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63dc403b88583:0x433a597df0157768!8m2!3d11.276447!4d76.2258746!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeUxYTnFNa1ozRUFFqgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA-gEECDgQSw!16s%2Fg%2F11ngyq82c4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Indian restaurant,Specialty_Food,3.9,721.0,₹1–200,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:21
Midway Kuzhimandi,"Ooty road, Nilambur, Kerala 679329",077364 26726,"https://www.google.com/maps/place/Midway+Kuzhimandi/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63be0a5e2316d:0x5ce8984e61d80c79!8m2!3d11.2681719!4d76.2128635!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA!16s%2Fg%2F11kjbpnds_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Restaurant,Specialty_Food,3.5,186.0,₹1–200,Opens 12pm,Closed ⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:26
White Lounge Restaurant,"Janathapadi Padikunnu, Nilambur, Kerala 679329",095268 81177,"https://www.google.com/maps/place/White+Lounge+Restaurant/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63bc3f44fafe3:0x94fc42e67c20b0c1!8m2!3d11.2825211!4d76.2339861!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSARFmYW1pbHlfcmVzdGF1cmFudKoBUQoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbOsYdUS-Adz_PcSja2sGclhLSFwTiZ4p8b0NPMhQQAiIQYmlyeWFuaSBuaWxhbWJ1cuABAA!16s%2Fg%2F11q3n6lh_m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Family restaurant,Specialty_Food,3.8,559.0,₹1–200,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:31
Raydan Restaurant Nilambur,"Ooty Rd, minarvappadi, Nilambur, Kerala 679330",070251 82892,"https://www.google.com/maps/place/Raydan+Restaurant+Nilambur/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63b7b236edcfb:0x88ed6b2c1f2bfb7e!8m2!3d11.2830517!4d76.2350545!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTkhCWWEzaFJSUkFCqgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA-gEECEYQKg!16s%2Fg%2F11fy9z9h_r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Restaurant,Specialty_Food,3.9,1176.0,₹1–200,Opens 11:30am,⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:36
Rahath Restaurant,"76PQ+JJ7, Chandakunnu, Nilambur, Kerala 679329",080864 69836,"https://www.google.com/maps/place/Rahath+Restaurant/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63b63768845f7:0x9ca73765fda840a0!8m2!3d11.2865469!4d76.2390616!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJKYmtsRGNEZEJSUkFCqgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA-gEECAAQRw!16s%2Fg%2F11g6nxd8r2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",Claim this business,Restaurant,Specialty_Food,3.7,296.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:40
CRISPELLO RESTAURANT,"Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/CRISPELLO+RESTAURANT/@11.2747218,76.1884153,14z/data=!4m11!1m3!2m2!1sbiryani+nilambur!6e5!3m6!1s0x3ba63b2456c62677:0xc167cc48cfb2796d!8m2!3d11.2855356!4d76.2385793!15sChBiaXJ5YW5pIG5pbGFtYnVyWhIiEGJpcnlhbmkgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6xh1RL4B3P89xKNrawZyWEtIXBOJninxvQ08yFBACIhBiaXJ5YW5pIG5pbGFtYnVy4AEA!16s%2Fg%2F11x8_2x3my?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+nilambur,"11.2747218, 76.1884153",,Restaurant,Specialty_Food,4.9,10.0,₹1–200,Closes 12am,Open ⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani nilambur,2025-08-10 04:59:45
