name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Mazali Restaurant, Perinthalmanna","Kozhikkode - Palakkad Bypass Rd, Perinthalmanna, Kerala 679322",095267 15566,"https://www.google.com/maps/place/Mazali+Restaurant,+Perinthalmanna/@10.9791074,76.2047946,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd025f6c9f31:0x1688edad4711ea56!8m2!3d10.9891312!4d76.2263836!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARdzb3V0aF9pbmRpYW5fcmVzdGF1cmFudKoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11bxb6njnv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9791074, 76.2047946",,South Indian restaurant,Specialty_Food,4.0,9264.0,₹200–400,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"Classic regional specialities, including seafood & grilled meats, served in a laid-back eatery.",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:24
Chilies Restaurant,"Malappuram SH-73, Ooty Main Road, Perinthalmanna, Kerala 679322",075948 88802,"https://www.google.com/maps/place/Chilies+Restaurant/@10.9791074,76.2047946,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd02f7d8360d:0x8caeabd5e8f54b34!8m2!3d10.989171!4d76.226779!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARFpbmRpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSZmJscFFSM3BSUlJBQqoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEEw!16s%2Fg%2F12hrxd9fx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9791074, 76.2047946",,Indian restaurant,Specialty_Food,4.5,7312.0,₹200–400,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:29
Royal Kayama Biriyani Restaurant,"Near Polytechnic College, Perintalmanna, Angadipuram, Kerala 679321",097459 55007,"https://www.google.com/maps/place/Royal+Kayama+Biriyani+Restaurant/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd57e8c36bd9:0x841b8676d723ddf6!8m2!3d10.9776779!4d76.2087589!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVcKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxmtPenCWLrX7bVEveZkXaqimO4CnwaYLhwudTIaEAIiFmJpcnlhbmkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11l4csj5xp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",,Biryani restaurant,Specialty_Food,4.3,259.0,₹200–400,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:34
Saleem Bai Biryani centre,"X69G+FGQ, Chathalloor, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Saleem+Bai+Biryani+centre/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd333e632881:0x696530af1a88ae23!8m2!3d10.96872!4d76.2263441!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARFrZXJhbGFfcmVzdGF1cmFudKoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11kp9zn7kl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",Claim this business,Kerala restaurant,Specialty_Food,3.7,103.0,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:39
GOLDEN RESTAURANT ️,"Ooty road, bypass, near Manathumangalam, Perinthalmanna, Kerala 679322",095624 37756,"https://www.google.com/maps/place/GOLDEN+RESTAURANT+%EF%B8%8F/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd021e96bd77:0x1bbb7b666d1913f7!8m2!3d10.9867585!4d76.2258633!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TWpsdGNtRjNFQUWqAVcKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxmtPenCWLrX7bVEveZkXaqimO4CnwaYLhwudTIaEAIiFmJpcnlhbmkgcGVyaW50aGFsbWFubmHgAQD6AQQIABAf!16s%2Fg%2F11c5_gxl81?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",Place an order,Restaurant,Specialty_Food,3.8,1255.0,₹200–400,Opens 10:30am,⋅ Opens 10:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:43
Yummy Biryani Center,"X6MG+V57, Valiyangadi, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Yummy+Biryani+Center/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd2566cf0d17:0xe87f3e96aacc99c8!8m2!3d10.9846686!4d76.2254227!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVcKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxmtPenCWLrX7bVEveZkXaqimO4CnwaYLhwudTIaEAIiFmJpcnlhbmkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11gsy_742p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",Claim this business,Biryani restaurant,Specialty_Food,3.9,45.0,₹200–400,Opens 6am,⋅ Opens 6am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:48
Faizee Biriyani Hut,"24, Ootty Rd, Perinthalmanna, Kerala 679322",097473 38045,"https://www.google.com/maps/place/Faizee+Biriyani+Hut/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cdab282d36fd:0xaff0cdbd45bccf75!8m2!3d10.9789241!4d76.2262478!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARRmYXN0X2Zvb2RfcmVzdGF1cmFudKoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11c2q2p_7_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",,Fast food restaurant,Specialty_Food,3.8,65.0,₹200–400,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:53
Barizta Restaurant,"Bypass Road, near KIMS Al-shifa Hospital, Perinthalmanna, Kerala 679322",090611 22122,"https://www.google.com/maps/place/Barizta+Restaurant/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7ccfe7720e5c3:0x2d7940452b5bc21e!8m2!3d10.9858932!4d76.2227464!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARdub3J0aF9pbmRpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNd2VIWnBlaTEzUlJBQqoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEEQ!16s%2Fg%2F11ddx7gj51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",bariztapmna.myfreesites.net,North Indian restaurant,Specialty_Food,4.0,1685.0,₹200–400,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,Simple counter-serve venue with a patio serving up traditional Arabic eats like kebabs & shawarma.,no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:48:58
Faizee Fast Food,"CALICUT ROAD, Perinthalmanna, Kerala 679322",098471 84405,"https://www.google.com/maps/place/Faizee+Fast+Food/@10.9776779,76.17271,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cc56bf37a23d:0x34d786d1e51cac7d!8m2!3d10.9764717!4d76.2181536!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSARRmYXN0X2Zvb2RfcmVzdGF1cmFudKoBVwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGa096cJYutfttUS95mRdqqKY7gKfBpguHC51MhoQAiIWYmlyeWFuaSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11c1l9t9mb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9776779, 76.17271",,Fast food restaurant,Specialty_Food,4.1,946.0,₹200–400,Opens 9:30am,⋅ Opens 9:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:49:03
Dum Delights Biriyani House,"near KMT Silks Parking, Shanti Nagar, Perinthalmanna, Kerala 679322",080753 47148,"https://www.google.com/maps/place/Dum+Delights+Biriyani+House/@10.9740973,76.1930381,14z/data=!4m11!1m3!2m2!1sbiryani+perinthalmanna!6e5!3m6!1s0x3ba7cd4da56e8a4b:0x2c6cd63b6b8a7e57!8m2!3d10.9740973!4d76.229087!15sChZiaXJ5YW5pIHBlcmludGhhbG1hbm5hWhgiFmJpcnlhbmkgcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFXCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZrT3pwli61-21RL3mZF2qopjuAp8GmC4cLnUyGhACIhZiaXJ5YW5pIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11w59k4wt_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+perinthalmanna,"10.9740973, 76.1930381",,Restaurant,Specialty_Food,4.5,64.0,₹200–400,Opens 11am,Closed ⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani perinthalmanna,2025-08-10 04:49:08
