name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"CALICUT EMPIRE,PONNANI","Ponnani, Kerala 679585",080898 24494,"https://www.google.com/maps/place/CALICUT+EMPIRE,PONNANI/@10.7545571,75.8944323,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb35b9afabc7:0xbb383e033bc272cd!8m2!3d10.7545571!4d75.9304812!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAVAKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxre7GdXce6JrLi9hJrxzByxzQWqXLS1N2N5LDITEAIiD2JpcnlhbmkgcG9ubmFuaeABAA!16s%2Fg%2F11rqy_jn1q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7545571, 75.8944323",Claim this business,South Indian restaurant,Specialty_Food,3.2,622.0,₹200–400,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:14:37
Uri Traditional Foods,"Kuttikkad - Karma Rd, Keezhillam, Ponnani, Kerala 679577",097461 91347,"https://www.google.com/maps/place/Uri+Traditional+Foods/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bbc375450c9f:0xdfca5fd274c5630c!8m2!3d10.7833923!4d75.9383945!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSa2QyUjZjR3BuUlJBQqoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA-gEECAAQKg!16s%2Fg%2F11fsyz3rjs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",instagram.com,Restaurant,Specialty_Food,4.0,289.0,₹200–400,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:14:42
Ikkayees Biriyani,"QWMR+7R5, Palakkad - Ponnani Rd, Keezhillam, Ponnani, Kerala 679577",096053 08106,"https://www.google.com/maps/place/Ikkayees+Biriyani/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb4cc1f23f51:0xf3a2a071236c9106!8m2!3d10.7831431!4d75.9421095!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgESYmlyeWFuaV9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa3uxnV3Huiay4vYSa8cwcsc0Fqly0tTdjeSwyExACIg9iaXJ5YW5pIHBvbm5hbmngAQA!16s%2Fg%2F11mtd6ktrz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",Claim this business,Biryani restaurant,Specialty_Food,3.2,25.0,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:14:47
Food Feast Restaurant,"Kuttikkad - Karma Rd, Kuttadu, Ponnani, Kerala 679577",088487 87987,"https://www.google.com/maps/place/Food+Feast+Restaurant/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb59058e103b:0x2ccf63085504e0df!8m2!3d10.7900666!4d75.9389096!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA!16s%2Fg%2F11t1c4gsxc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",infoodfeast.in,Restaurant,Specialty_Food,4.2,149.0,₹200–400,Opens 12:30pm,Closed ⋅ Opens 12:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:14:51
Haneena Restaurant,"QWHF+F7F, Malappuram, Ponnani, Kerala 679583",,"https://www.google.com/maps/place/Haneena+Restaurant/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb5ce90d9a8d:0xe620a47bc53387cf!8m2!3d10.7786746!4d75.9232074!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA!16s%2Fg%2F11rwssv21j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",,Restaurant,Specialty_Food,3.6,162.0,₹200–400,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:14:56
Harbour Heritage Restaurant,"Mukkuttakkal Bridge Substation Side, Near, Ponnani, Kerala 679577",090720 00029,"https://www.google.com/maps/place/Harbour+Heritage+Restaurant/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb00107316d5:0xb75cd81de5345609!8m2!3d10.7735807!4d75.9478853!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAVAKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxre7GdXce6JrLi9hJrxzByxzQWqXLS1N2N5LDITEAIiD2JpcnlhbmkgcG9ubmFuaeABAA!16s%2Fg%2F11v_28rfnz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",wa.me,South Indian restaurant,Specialty_Food,4.5,40.0,₹200–400,Closes 12pm,⋅ Closes 12pm ⋅ Reopens 12:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:15:01
Safa restaurant,"QWMW+VFG, chavakkad road, CV jn, Ponnani, Kerala 679577",Local Guide · 104 reviews · 98 photos,"https://www.google.com/maps/place/Safa+restaurant/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bbe7ff3e84ff:0xc2853dc6a6cb0ec8!8m2!3d10.7846775!4d75.9462148!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgERZmFtaWx5X3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlMUzFpU1U1QkVBRaoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA-gEFCL0CEEs!16s%2Fg%2F11rttzqp51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",Claim this business,Family restaurant,Specialty_Food,3.8,1121.0,₹200–400,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:15:06
Tamarind restaurant,"Karma Rd, Kuttadu, Ponnani, Kerala 679577",080863 82287,"https://www.google.com/maps/place/Tamarind+restaurant/@10.7833923,75.9023456,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bbfad3c71d6f:0xc057919a75bb5639!8m2!3d10.7912038!4d75.9398831!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA!16s%2Fg%2F11svz8kzm_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7833923, 75.9023456",,Restaurant,Specialty_Food,4.6,174.0,₹200–400,Opens 4pm,⋅ Opens 4pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:15:11
Barizta grill house,"Karma Rd, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Barizta+grill+house/@10.8088409,75.9218001,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bb2b7a18df5f:0x82001a11c3ccc660!8m2!3d10.8088409!4d75.957849!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA!16s%2Fg%2F11xf7jff58?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.8088409, 75.9218001",,Restaurant,Specialty_Food,4.7,18.0,₹200–400,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:15:15
"Top Chicken Restaurant, Ponnani","near Police Station, Ponnani, Kerala 679586",095391 40363,"https://www.google.com/maps/place/Top+Chicken+Restaurant,+Ponnani/@10.7573899,75.8929099,14z/data=!4m11!1m3!2m2!1sbiryani+ponnani!6e5!3m6!1s0x3ba7bbbe9c9d5535:0x54fbbdc6d20b195f!8m2!3d10.7573899!4d75.9289588!15sCg9iaXJ5YW5pIHBvbm5hbmlaESIPYmlyeWFuaSBwb25uYW5pkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTWVGbG1ObmgzUlJBQqoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGt7sZ1dx7omsuL2EmvHMHLHNBapctLU3Y3ksMhMQAiIPYmlyeWFuaSBwb25uYW5p4AEA-gEECAAQJA!16s%2Fg%2F11vjtqqf2z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+ponnani,"10.7573899, 75.8929099",,Restaurant,Specialty_Food,3.1,109.0,₹200–400,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani ponnani,2025-08-10 05:15:20
