name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Khaleez Restaurant,"WW3C+9W4, near bharath petroleum, Pottathepadi, Tirur, Kerala 676101",090619 52007,"https://www.google.com/maps/place/Khaleez+Restaurant/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b10e93320597:0x1dbc30575ea8a237!8m2!3d10.9040914!4d75.9218889!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50qgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA!16s%2Fg%2F11h75_qrtf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",instagram.com,Middle Eastern restaurant,Specialty_Food,4.2,5397.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:27
DHAMMEE Biriyani,"Zeenath plaza building, Ezhur Rd, near Savera hospital, Tirur, Kerala 676101",080893 17771,"https://www.google.com/maps/place/DHAMMEE+Biriyani/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b10046577459:0xcacac9af7133b7d5!8m2!3d10.915739!4d75.9248752!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWTU4wY3haR0ZrTjB0cFZITkJSUkFCqgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA-gEECAAQIg!16s%2Fg%2F11x666_2n9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",,Restaurant,Specialty_Food,4.8,21.0,₹₹,Opens 12pm Mon,⋅ Opens 12pm Mon,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:31
Sabka Restaurant,"1st floor, WW9G+7G9 Sabka Restaurant building, Ring Road, Tirur, Kerala 676101",0494 243 3301,"https://www.google.com/maps/place/Sabka+Restaurant/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b18b9cbac7a1:0xa42086c1b63217a7!8m2!3d10.9181268!4d75.9262833!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARlub25fdmVnZXRhcmlhbl9yZXN0YXVyYW50qgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA!16s%2Fg%2F1wnd_hmh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",sabkagroup.com,Non Vegetarian Restaurant,Specialty_Food,3.8,1799.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:36
Live@55 KUZHIMANDHI,"Puthanathani - Ezhur Rd, Muthoor, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Live@55+KUZHIMANDHI/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1820037b01b:0xba205b75e86067c5!8m2!3d10.912866!4d75.9291794!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAU4KCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG19W73GNiiVFwwWoppppH5FazbChqhWJQmAHGTIREAIiDWJpcnlhbmkgdGlydXLgAQA!16s%2Fg%2F11sf322_st?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",,Biryani restaurant,Specialty_Food,4.7,30.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,55.0,Not Available,,,biryani tirur,2025-08-10 05:04:41
Soofi Mandi,"near Tirur co-operative rural bank, Thazhepalam, Tirur, Kerala 676101",095443 00095,"https://www.google.com/maps/place/Soofi+Mandi/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1d136cb8fdb:0x26f33298e47acb22!8m2!3d10.9109552!4d75.9195989!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSAQ9hcmFiX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhTU2xKSVZtWmFSMFpTVld0S1VFNXVWWGRWYlRSNVYxaGplbU14UlJBQqoBTgoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbX1bvcY2KJUXDBaimmmkfkVrNsKGqFYlCYAcZMhEQAiINYmlyeWFuaSB0aXJ1cuABAPoBBAgAECc!16s%2Fg%2F11ybrmvh3z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",soofimandi.com,Arab restaurant,Specialty_Food,4.6,1015.0,₹₹,Opens 11:30am,⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:46
AL ARAB KUZHI MANDHI,"near Indian Oil Pump, Pookkayil, Bazzar, Tirur, Kerala 676107",077360 08100,"https://www.google.com/maps/place/AL+ARAB+KUZHI+MANDHI/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b3e6ceb813ab:0x38055c0e84ca558d!8m2!3d10.9271034!4d75.9117411!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSAQ9hcmFiX3Jlc3RhdXJhbnSqAU4KCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG19W73GNiiVFwwWoppppH5FazbChqhWJQmAHGTIREAIiDWJpcnlhbmkgdGlydXLgAQA!16s%2Fg%2F11gydfryph?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",,Arab restaurant,Specialty_Food,4.0,238.0,₹₹,Opens 11:30am,⋅ Opens 11:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:51
Bismillah Family Restaurant,"Poongottukulam, Tirur, Kerala 676101",0494 242 4889,"https://www.google.com/maps/place/Bismillah+Family+Restaurant/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1cb9afac361:0x9476d6a6d26b49e8!8m2!3d10.9091913!4d75.9189824!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARFmYW1pbHlfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSQ2ExOTZZMlpCRUFFqgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA-gEECAAQNA!16s%2Fg%2F1hjh2fky2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",dialndial.com,Family restaurant,Specialty_Food,3.8,328.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani tirur,2025-08-10 05:04:56
Eshal's Yummy Chapati Company ചപ്പാത്തി കമ്പനി,"Near Pookayil, Naduvilangadi, Tirur, Kerala 676107",097443 33191,"https://www.google.com/maps/place/Eshal's+Yummy+Chapati+Company+%E0%B4%9A%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%BE%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF+%E0%B4%95%E0%B4%AE%E0%B5%8D%E0%B4%AA%E0%B4%A8%E0%B4%BF/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1b5f82e52f5:0x8976dc12669cc27d!8m2!3d10.9212252!4d75.9156781!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARRmYXN0X2Zvb2RfcmVzdGF1cmFudKoBTgoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbX1bvcY2KJUXDBaimmmkfkVrNsKGqFYlCYAcZMhEQAiINYmlyeWFuaSB0aXJ1cuABAA!16s%2Fg%2F11f5tzlrw2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",Place an order,Fast food restaurant,Specialty_Food,4.3,87.0,₹₹,,,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:05:01
Albaik,"Police Lane, Tirur-Chamravattom Rd, Tirur, Kerala 676105",098954 80505,"https://www.google.com/maps/place/Albaik/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1f42298650f:0x3532441eed12896c!8m2!3d10.9000908!4d75.9256718!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSAQpyZXN0YXVyYW50qgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA!16s%2Fg%2F11pyp2wbbh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",albaikindia.com,Restaurant,Specialty_Food,4.0,261.0,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:05:05
Lillis Arabian Restaurant,"Tirur - Tanur Rd, near KVR bajaj or KTM show room, near Municipal Stadium, Naduvilangadi, Tirur, Kerala 676101",097477 20000,"https://www.google.com/maps/place/Lillis+Arabian+Restaurant/@10.9040914,75.88584,14z/data=!4m11!1m3!2m2!1sbiryani+tirur!6e5!3m6!1s0x3ba7b1f410309157:0xb1d20d656abc412d!8m2!3d10.9178526!4d75.9182374!15sCg1iaXJ5YW5pIHRpcnVyWg8iDWJpcnlhbmkgdGlydXKSARFmYW1pbHlfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSR09IWkljMWQzRUFFqgFOCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhtfVu9xjYolRcMFqKaaaR-RWs2woaoViUJgBxkyERACIg1iaXJ5YW5pIHRpcnVy4AEA-gEECD8QHw!16s%2Fg%2F11f3m9t9g7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirur,"10.9040914, 75.88584",Place an order,Family restaurant,Specialty_Food,4.0,1715.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirur,2025-08-10 05:05:10
