name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
SR Restaurant,"Chemmad, Tirurangadi, Kerala 676306",080751 88451,"https://www.google.com/maps/place/SR+Restaurant/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64df2b3724825:0x4bdfdaa44f07f477!8m2!3d11.0413008!4d75.9214274!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11stbgblnf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",,Restaurant,Specialty_Food,4.7,156.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:07
Arabian Majlis,"SH 72, Tirurangadi, Kerala 676306",099867 00333,"https://www.google.com/maps/place/Arabian+Majlis/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64dd90f955fa3:0xb675bbaa87ffa3ce!8m2!3d11.0410848!4d75.928757!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11q2q_7l90?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",,Middle Eastern restaurant,Specialty_Food,3.9,507.0,₹1–200,Closes 12am,Open ⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:12
Al Raydan,"2WR9+7GP, Mampuram Bypass Road, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Al+Raydan/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d041b58674b:0x1e0ddd9a93412202!8m2!3d11.0407103!4d75.9188167!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11j99s373m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",dialndial.com,Restaurant,Specialty_Food,3.8,77.0,₹1–200,Opens 9:30am,⋅ Opens 9:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:16
ALREEM MANDI CHEMMAD,"Parappanangadi, road, near TAJ Auditorium, Chemmad, Kerala 676306",086064 10410,"https://www.google.com/maps/place/ALREEM+MANDI+CHEMMAD/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d09e81fd031:0xed7164ae65d4606!8m2!3d11.0432403!4d75.9060862!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11kqhbc732?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",alreemmandi.com,Restaurant,Specialty_Food,3.9,220.0,₹1–200,Opens 12:30pm,⋅ Opens 12:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:21
Cookies Restaurant,"Thaikkatt Complex, Kakkad, Tirurangadi, Kakkad, Kerala 676306",090616 67322,"https://www.google.com/maps/place/Cookies+Restaurant/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d90d349983d:0xff5381eefc951913!8m2!3d11.037097!4d75.9363971!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11vysl_d6f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",cookiesbakes.in,Restaurant,Specialty_Food,4.1,34.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:26
Hot Wingz,"Opp: Homeland, Tirurangadi, Kerala 676306",098461 17799,"https://www.google.com/maps/place/Hot+Wingz/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d3a6201bb13:0x852618a882ebb08d!8m2!3d11.0427445!4d75.9273197!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11lpnr__7d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",whatshop.live,Restaurant,Specialty_Food,4.1,482.0,₹1–200,Opens 3:30pm,⋅ Opens 3:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:31
M.K.H Canteen,"2WRJ+C2H, Parappanangadi - Chemmad - Malappuram Rd, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/M.K.H+Canteen/@11.0413008,75.7772318,12z/data=!3m1!5s0x3ba64d11718503cb:0xc7edd7b6efe0abb5!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d1172047731:0x89493387a4415771!8m2!3d11.0410742!4d75.9301083!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11cn0sxlfk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",Claim this business,Restaurant,Specialty_Food,3.3,84.0,₹1–200,Opens 7am,⋅ Opens 7am,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:35
Foodtopia Restaurant,"Kozhikode Road, opposite myG, near AM Motors, Chemmad, Kerala 676306",,"https://www.google.com/maps/place/Foodtopia+Restaurant/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d97b7e38819:0x892531c81ec170ea!8m2!3d11.0446408!4d75.9114547!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSAQpyZXN0YXVyYW50qgFUCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhs6LUBUCLbW_hK70yxRaouuoRFgjEnNPpYEECMyFxACIhNiaXJ5YW5pIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11mcxky46c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",,Restaurant,Specialty_Food,3.7,3.0,₹1–200,Closes 12am,⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,,Not Available,,,biryani tirurangadi,2025-08-10 05:27:40
Appada Biriyani Stall,"2VQF+95M, Parappanangadi - Vengara - Malappuram Rd, Palathingal, Neduva, Kerala 676303",,"https://www.google.com/maps/place/Appada+Biriyani+Stall/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba652ec4e5e5ce5:0x588dec8bca61e037!8m2!3d11.0384715!4d75.8729206!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVQKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGzotQFQIttb-ErvTLFFqi66hEWCMSc0-lgQQIzIXEAIiE2JpcnlhbmkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11csqfdhbp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",Claim this business,Biryani restaurant,Specialty_Food,4.0,67.0,₹1–200,Opens 8:30am,⋅ Opens 8:30am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,biryani tirurangadi,2025-08-10 05:27:45
Hotel Ayodhya,"2WV7+38M, Chemmad - Tirurangadi Rd, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Hotel+Ayodhya/@11.0413008,75.7772318,12z/data=!4m11!1m3!2m2!1sbiryani+tirurangadi!6e5!3m6!1s0x3ba64d6fc37e2235:0x6d0ec0280e82cef5!8m2!3d11.0427114!4d75.9132961!15sChNiaXJ5YW5pIHRpcnVyYW5nYWRpWhUiE2JpcnlhbmkgdGlydXJhbmdhZGmSARV2ZWdldGFyaWFuX3Jlc3RhdXJhbnSqAVQKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGzotQFQIttb-ErvTLFFqi66hEWCMSc0-lgQQIzIXEAIiE2JpcnlhbmkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11c6ffk833?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+tirurangadi,"11.0413008, 75.7772318",Claim this business,Vegetarian restaurant,Specialty_Food,3.6,108.0,₹1–200,Opens 7am,⋅ Opens 7am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,biryani tirurangadi,2025-08-10 05:27:50
