name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
A One Hotel & Restaurant,"Bypass road, SH28, Kondotty, Kerala 673638",098479 78883,"https://www.google.com/maps/place/A+One+Hotel+%26+Restaurant/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f1db7ee230d:0xd94b962b83090bc6!8m2!3d11.1489471!4d75.9607149!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEZbWlkZGxlX2Vhc3Rlcm5fcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA!16s%2Fg%2F1q5bldqyd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",,Middle Eastern restaurant,Specialty_Food,3.7,1201.0,₹₹,Closes 2:30am,⋅ Closes 2:30am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:18:36
Tummy & Me,"SH28, Kondotty, Kerala 673638",070120 90251,"https://www.google.com/maps/place/Tummy+%26+Me/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f1b623baeeb:0x17be2b57f91fe6fc!8m2!3d11.1420659!4d75.9729883!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgETc2hhd2FybWFfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUExUVllibDlSUlJBQqoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA-gEECAAQMg!16s%2Fg%2F11qr2rpyzk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",tummyandme.com,Shawarma restaurant,Specialty_Food,4.5,96.0,₹₹,,,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:18:41
Fast & Taste Restaurant,"Mukkode, Kondotty, Karipur, Kerala 673638",,"https://www.google.com/maps/place/Fast+%26+Taste+Restaurant/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f0ea0031ad1:0xe478209bcca0a083!8m2!3d11.1308624!4d75.9702744!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEWaGVhbHRoX2Zvb2RfcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA!16s%2Fg%2F11v40p_cw_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",,Health food restaurant,Specialty_Food,4.4,23.0,₹₹,,,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:18:45
"Rooster crispy broast, Kondotty","4XW7+Q6G, Bypass Road, opp. Bus Stand, Kondotty, Kerala 673638",079940 77780,"https://www.google.com/maps/place/Rooster+crispy+broast,+Kondotty/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f0059adfeeb:0xca6684a15fd4039b!8m2!3d11.1474059!4d75.9630457!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5qHIyirUzpEf-cQX_WVGEx1viF9b6hTYvXmFzIWEAIiEmZhc3QgZm9vZCBrb25kb3R0eeABAA!16s%2Fg%2F11vrk59lwf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",dialndial.com,Fast food restaurant,Specialty_Food,3.6,31.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:18:50
BASHEER COOLBAR RESTAURANT AND CAFE,"Kondotty, Kerala 673638",098463 20813,"https://www.google.com/maps/place/BASHEER+COOLBAR+RESTAURANT+AND+CAFE/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f1b45bde001:0x8c0192e433bc0fec!8m2!3d11.1513919!4d75.9586208!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgELY29mZmVlX3Nob3CqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5qHIyirUzpEf-cQX_WVGEx1viF9b6hTYvXmFzIWEAIiEmZhc3QgZm9vZCBrb25kb3R0eeABAA!16s%2Fg%2F11dxl9qsrg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",,Coffee shop,Specialty_Food,3.9,1874.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:18:55
"Yummy Fried Chicken, Kondotty","Kuruppath, Kozhikode-Nilambur-Gudallur Rd, Kondotty, Kerala 673638",070122 36058,"https://www.google.com/maps/place/Yummy+Fried+Chicken,+Kondotty/@11.1489471,75.924666,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f1b916c3791:0x808ab5805ac3788d!8m2!3d11.1420862!4d75.9728875!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgESY2hpY2tlbl9yZXN0YXVyYW50qgFfCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuahyMoq1M6RH_nEF_1lRhMdb4hfW-oU2L15hcyFhACIhJmYXN0IGZvb2Qga29uZG90dHngAQA!16s%2Fg%2F11pyn_nchg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1489471, 75.924666",,Chicken restaurant,Specialty_Food,4.2,261.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:19:00
Malabar Thattukada Ekkaparambu,"5X4P+755, po, Ekkaparambu, Ekkaparamba, Kondotty, Kuzhimanna, Kerala 673638",098476 06567,"https://www.google.com/maps/place/Malabar+Thattukada+Ekkaparambu/@11.1556485,75.9494291,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f2e6b154e55:0xd4280a041b4f2dd6!8m2!3d11.1556485!4d75.985478!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5qHIyirUzpEf-cQX_WVGEx1viF9b6hTYvXmFzIWEAIiEmZhc3QgZm9vZCBrb25kb3R0eeABAA!16s%2Fg%2F1hjhhmcc4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1556485, 75.9494291",Place an order,Fast food restaurant,Specialty_Food,3.6,125.0,₹₹,Closes 9:30pm,⋅ Closes 9:30pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,,Not Available,,,fast food kondotty,2025-08-10 06:19:05
Calicut cafeteria,"Kurppath, Kondotty, Kerala 673638",080891 75421,"https://www.google.com/maps/place/Calicut+cafeteria/@11.1556485,75.9494291,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f846bd314a3:0x25a76891ca50cccc!8m2!3d11.1428459!4d75.9702693!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEKcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA!16s%2Fg%2F11tn113j0q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1556485, 75.9494291",instagram.com,Restaurant,Specialty_Food,3.9,388.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:19:09
Vitamin BBQ Corner Mandi,"Kondotty Bypass Rd, Kondotty, Kerala 673638",081119 20010,"https://www.google.com/maps/place/Vitamin+BBQ+Corner+Mandi/@11.1463664,75.926968,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f1de64ea593:0x3fc5a3cccbf907f1!8m2!3d11.1463664!4d75.9630169!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEKcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA!16s%2Fg%2F1tf0p180?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1463664, 75.926968",,Restaurant,Specialty_Food,3.9,770.0,₹₹,Opens 11:30am,⋅ Opens 11:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:19:14
T&T Kondotty,"near Mahakavi Moyin Kutty Vaidyar Mappila Kala Academy, Kondotty, Kerala 673638",090721 00213,"https://www.google.com/maps/place/T%26T+Kondotty/@11.1463664,75.926968,14z/data=!4m11!1m3!2m2!1sfast+food+kondotty!6e5!3m6!1s0x3ba64f354e657775:0x1e36348f52d8f837!8m2!3d11.1518791!4d75.9575121!15sChJmYXN0IGZvb2Qga29uZG90dHlaFCISZmFzdCBmb29kIGtvbmRvdHR5kgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdWNtRm1TMTkzUlJBQqoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmocjKKtTOkR_5xBf9ZUYTHW-IX1vqFNi9eYXMhYQAiISZmFzdCBmb29kIGtvbmRvdHR54AEA-gEECAAQOw!16s%2Fg%2F11l2c1c2sd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+kondotty,"11.1463664, 75.926968",instagram.com,Restaurant,Specialty_Food,4.2,555.0,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food kondotty,2025-08-10 06:19:19
