name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
AL BAITH MALAPPURAM,"Kizhakkethala, Down Hill, Malappuram, Kerala 676519",090722 00036,"https://www.google.com/maps/place/AL+BAITH+MALAPPURAM/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64b2235c7d38f:0xbf82df73dad5d32!8m2!3d11.0516276!4d76.0717648!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11rd8htrth?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",albaithbroasted.dialndial.com,Fast food restaurant,Specialty_Food,4.7,1997.0,₹₹,Opens 12pm,Closed ⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:33:37
Shawaya Hub Malappuram,"Keycees Building, Kavungal - Munduparamba Bypass Rd, Malappuram, Kerala 676509",062358 80088,"https://www.google.com/maps/place/Shawaya+Hub+Malappuram/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba635325d3f1d31:0xb4291bc5bdbec485!8m2!3d11.0543191!4d76.0875267!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11q3f4fqwx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",instagram.com,Fast food restaurant,Specialty_Food,4.1,1157.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:33:41
Chicking,"Palakkad - Kozhikode Hwy, Machingal, Down Hill, Malappuram, Kerala 676505",090588 00800,"https://www.google.com/maps/place/Chicking/@11.0516276,75.9275692,12z/data=!3m1!5s0x3ba64a8182c2d1c3:0x99a11241629cd178!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64a818273a76b:0x23aca890df8ef7f8!8m2!3d11.0575322!4d76.0828658!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11b7c88ybm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",chickingindia.in,Fast food restaurant,Specialty_Food,4.1,2864.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:33:46
ALBAIK Feasto Express,"Albaik Feasto Express, near Malappuram, Mylappuram, Down Hill, Malappuram, Kerala 676519",096052 22400,"https://www.google.com/maps/place/ALBAIK+Feasto+Express/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64bad6573696d:0xffeeb259d775c7d5!8m2!3d11.0432491!4d76.0718314!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11fl0xrvd0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",albaikindia.com,Fast food restaurant,Specialty_Food,4.2,523.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:33:51
Hi,"Big Bazaar, Down Hill, Malappuram, Kerala 676519",089060 20202,"https://www.google.com/maps/place/Hi/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64bbd8531bc21:0xa3388c9d53a219e4!8m2!3d11.0520068!4d76.0627846!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBCnJlc3RhdXJhbnSqAWEKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG2PA_v-rwWbzvkYjchCXaQXhQYaxW1mEszsagTIYEAIiFGZhc3QgZm9vZCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11h22pp62r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Restaurant,Specialty_Food,3.9,138.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:33:56
Fryzy fried chicken,"Kizhakkethala, Down Hill, Malappuram, Kerala 676519",075940 00089,"https://www.google.com/maps/place/Fryzy+fried+chicken/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64b9afe4cf63b:0xbc7768e3cfc2c94a!8m2!3d11.0489903!4d76.0709479!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11jm75y6xd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",instagram.com,Fast food restaurant,Specialty_Food,4.1,126.0,₹₹,Opens 12pm,Closed ⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:01
Hotel Swagath,"Manjeri Bus Bay, SH 71, Up Hill, Malappuram, Kerala 676505",090617 49789,"https://www.google.com/maps/place/Hotel+Swagath/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64a9f3bc56a7d:0x4ff1a366363c5ff8!8m2!3d11.0424619!4d76.0807736!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11crxs0y3t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Fast food restaurant,Specialty_Food,3.8,515.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:06
QUICKFEAST LLP,"Al Baik Building, 675, Tirur Road, Down Hill, Malappuram, Kerala 676519",090378 08118,"https://www.google.com/maps/place/QUICKFEAST+LLP/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64bebd179bf43:0xb01033a07846759c!8m2!3d11.0462384!4d76.0716524!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSmJXOTZiME5ZTW1aTVJtOVJSUkFCqgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAPoBBAgAEA8!16s%2Fg%2F11xf_fht9v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Fast food restaurant,Specialty_Food,4.0,4.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,fast food malappuram,2025-08-10 05:34:10
Crispy Broast,"Down Hill, Malappuram, Kerala 676519",098468 70646,"https://www.google.com/maps/place/Crispy+Broast/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64bdedd7d1005:0x59730cc7b79e1571!8m2!3d11.0432017!4d76.0715032!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBDW1lYWxfdGFrZWF3YXmqAWEKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG2PA_v-rwWbzvkYjchCXaQXhQYaxW1mEszsagTIYEAIiFGZhc3QgZm9vZCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11qqcty7_n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Takeout restaurant,Specialty_Food,4.2,88.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:15
Grill Lounge Restaurant,"23VM+5HX, Up Hill, Malappuram, Kerala 676505",079024 51515,"https://www.google.com/maps/place/Grill+Lounge+Restaurant/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64b00517776a5:0xa2fd4dff6988678d!8m2!3d11.043049!4d76.08402!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBCnJlc3RhdXJhbnSqAWEKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG2PA_v-rwWbzvkYjchCXaQXhQYaxW1mEszsagTIYEAIiFGZhc3QgZm9vZCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11ycytj27p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Restaurant,Specialty_Food,3.9,92.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:20
Biriyani spot Varangode Malappuram,"varankode, Varankode, Malappuram, Kerala 676519",090612 06088,"https://www.google.com/maps/place/Biriyani+spot+Varangode+Malappuram/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64a837c434a1b:0x29acac56f5ef5c70!8m2!3d11.0537429!4d76.079988!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11ggklqhpk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Fast food restaurant,Specialty_Food,4.1,118.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:25
Night Palace Restaurant,"Malappuram - Manjeri Rd, Anakkayam, Malappuram, Kerala 676509",080864 27787,"https://www.google.com/maps/place/Night+Palace+Restaurant/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba635080830e61b:0x8000794459044eeb!8m2!3d11.0934558!4d76.119684!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBCnJlc3RhdXJhbnSqAWEKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG2PA_v-rwWbzvkYjchCXaQXhQYaxW1mEszsagTIYEAIiFGZhc3QgZm9vZCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11hyhfhb6y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",blackkingdom.in,Restaurant,Specialty_Food,4.3,207.0,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:30
Mumbai fast food,"X383+3PH, Malappuram, Kerala 676553",,"https://www.google.com/maps/place/Mumbai+fast+food/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba7b5c3286c7f79:0x190045a8a6afcaa8!8m2!3d10.9651979!4d76.054361!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11f9gwd9ch?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",Claim this business,Fast food restaurant,Specialty_Food,4.2,49.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:35
Chick Meal Broast Munduparamba,"Center Tower, Bypass junction, Munduparamba, Malappuram, Kerala 676509",082811 94425,"https://www.google.com/maps/place/Chick+Meal+Broast+Munduparamba/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba635f232390dbb:0x52bd378ce4fb1e3b!8m2!3d11.0527181!4d76.0893876!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11p1881b7y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",,Fast food restaurant,Specialty_Food,4.2,27.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:39
Hotel Arafa,"23WC+PJ3, Down Hill, Malappuram, Kerala 676519",088914 63574,"https://www.google.com/maps/place/Hotel+Arafa/@11.0516276,75.9275692,12z/data=!4m11!1m3!2m2!1sfast+food+malappuram!6e5!3m6!1s0x3ba64a90dde82487:0x7a45bea28d07f2df!8m2!3d11.046761!4d76.0715414!15sChRmYXN0IGZvb2QgbWFsYXBwdXJhbVoWIhRmYXN0IGZvb2QgbWFsYXBwdXJhbZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFhCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhtjwP7_q8Fm875GI3IQl2kF4UGGsVtZhLM7GoEyGBACIhRmYXN0IGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11g6pmbczj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+malappuram,"11.0516276, 75.9275692",Claim this business,Fast food restaurant,Specialty_Food,4.4,422.0,₹₹,Opens 7am Mon,⋅ Opens 7am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food malappuram,2025-08-10 05:34:44
