name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KING BROAST MANJERI - Alukkal,"Up complex, Alukkal, Manjeri, Kerala 676122",099463 60102,"https://www.google.com/maps/place/KING+BROAST+MANJERI+-+Alukkal/@11.1171487,76.0461923,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba64956b1386b43:0xefa0df320c7e6808!8m2!3d11.1171487!4d76.0822412!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11mcxkzr_v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1171487, 76.0461923",instagram.com,Fast food restaurant,Specialty_Food,5.0,65.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1122.0,Not Available,,,fast food manjeri,2025-08-10 05:44:47
Friends Fast food,"4499+3QW, Court Rd, Vellarangal, Manjeri, Kerala 676121",097462 52631,"https://www.google.com/maps/place/Friends+Fast+food/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba636706e9b04d5:0x35f8efa61ad6b975!8m2!3d11.1177383!4d76.1194383!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11c1l3xn1j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",Claim this business,Fast food restaurant,Specialty_Food,3.2,10.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,,Not Available,,,fast food manjeri,2025-08-10 05:44:52
EATO Food truck,"NSS, 13/140B, College Rd, kizhakkethala, p.o, Kuthukal, Manjeri, Kerala 676122",092071 21244,"https://www.google.com/maps/place/EATO+Food+truck/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba637c571718d7d:0xd52d5d1812502cd6!8m2!3d11.1236215!4d76.1275686!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBE3NoYXdhcm1hX3Jlc3RhdXJhbnSqAV0KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqEpgoj4QtQBWoXOgO3Q3ycgmh2iREJoXYiMhUQAiIRZmFzdCBmb29kIG1hbmplcmngAQA!16s%2Fg%2F11p012mkyw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",,Shawarma restaurant,Specialty_Food,4.1,161.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:44:57
Sreeniwas,"1, Manjeri - Perinthalmanna Rd, nr. Medical college, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Sreeniwas/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba63715632a68e5:0x2bb4c1c79b53a7e3!8m2!3d11.1180373!4d76.1194129!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11pdx21gxp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",Claim this business,Fast food restaurant,Specialty_Food,3.5,11.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:02
Döner Club Manjeri,"near indira gandhi bus terminal, Kacherippadi, Manjeri, Kerala 676121",096566 22560,"https://www.google.com/maps/place/D%C3%B6ner+Club+Manjeri/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba6375f5d957fb7:0x4f672930da6cb185!8m2!3d11.110059!4d76.1208397!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11k1mfrgf4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",donerclub.in,Fast food restaurant,Specialty_Food,4.2,362.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:07
Shawarma Fusion,"Nilambur - Malappuram Rd, Vayapparapadi, Manjeri, Kerala 676121",075949 48000,"https://www.google.com/maps/place/Shawarma+Fusion/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba635c7db956cf3:0xb68f4b1bb2496c36!8m2!3d11.1061856!4d76.12294!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11rhbrvdy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",instagram.com,Fast food restaurant,Specialty_Food,4.2,276.0,₹₹,Opens 1:30pm,⋅ Opens 1:30pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:12
Chicking,"3rd floor, Indian Mall, Calicut Rd, Manjeri, Kerala 676121",089433 38017,"https://www.google.com/maps/place/Chicking/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba63677504adbbf:0x761917db72feb414!8m2!3d11.120546!4d76.1154574!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11byl6tx0j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",chickingindia.in,Fast food restaurant,Specialty_Food,4.0,1044.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:17
Kacheripady stand,"4449+RG9, Kacherippadi, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Kacheripady+stand/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba635000809c0e9:0xdf4cd7baf6994251!8m2!3d11.1070404!4d76.1188607!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSmJUSjBTbEJMYkU4Mk0yUjNFQUWqAV0KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqEpgoj4QtQBWoXOgO3Q3ycgmh2iREJoXYiMhUQAiIRZmFzdCBmb29kIG1hbmplcmngAQD6AQQIABBF!16s%2Fg%2F11x916mvhn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",Claim this business,Fast food restaurant,Specialty_Food,4.0,4.0,₹₹,Closes 12pm,⋅ Closes 12pm ⋅ Reopens 3pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,fast food manjeri,2025-08-10 05:45:21
Shawarma Fusion Manjeri,"44F7+H52, Melakkam, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Shawarma+Fusion+Manjeri/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba6370025834ba3:0x8c05927b46501b83!8m2!3d11.1238949!4d76.1128686!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11vs0w4f8z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",Place an order,Fast food restaurant,Specialty_Food,4.2,39.0,₹₹,Opens 1:30pm,⋅ Opens 1:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:31
Chikeys Manjeri,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676123",095395 88999,"https://www.google.com/maps/place/Chikeys+Manjeri/@11.1177383,76.0833894,14z/data=!4m11!1m3!2m2!1sfast+food+manjeri!6e5!3m6!1s0x3ba63753239882cb:0x509703c01208ca39!8m2!3d11.1242026!4d76.1122923!15sChFmYXN0IGZvb2QgbWFuamVyaVoTIhFmYXN0IGZvb2QgbWFuamVyaZIBFGhhbWJ1cmdlcl9yZXN0YXVyYW50qgFdCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahKYKI-ELUAVqFzoDt0N8nIJodokRCaF2IjIVEAIiEWZhc3QgZm9vZCBtYW5qZXJp4AEA!16s%2Fg%2F11vx1_jmjr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+manjeri,"11.1177383, 76.0833894",chikeysindia.com,Hamburger restaurant,Specialty_Food,3.7,25.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food manjeri,2025-08-10 05:45:36
