name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Appoos Fast Food,"Appoos Fast Food, Nilambur - Malappuram Rd, Hajiyarpadi, Malappuram, Trikkalangode, Kerala 676123",089211 71044,"https://www.google.com/maps/place/Appoos+Fast+Food/@11.1553052,75.9809027,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba6379fb0aeacc7:0xab03a63f53b7ac61!8m2!3d11.1553052!4d76.1250983!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG17CX3Sa2ogqopmVsrB6Hyy2e3zq8KWYEf0mvDIWEAIiEmZhc3QgZm9vZCBuaWxhbWJ1cuABAA!16s%2Fg%2F11ng6jn6y6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.1553052, 75.9809027",Menu,Fast food restaurant,Specialty_Food,3.8,65.0,₹₹,Closes 12:30am,⋅ Closes 12:30am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
",dine-in; kerbside pickup,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:00:58
PRAVASI FASTFOOD Thazhe Chandhakkunnu,"76MR+JG5, Chandakunnu, Nilambur, Kerala 679329",094955 36502,"https://www.google.com/maps/place/PRAVASI+FASTFOOD+Thazhe+Chandhakkunnu/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63b1428e766f7:0xd7fb12364c1e0591!8m2!3d11.2840075!4d76.2413725!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG17CX3Sa2ogqopmVsrB6Hyy2e3zq8KWYEf0mvDIWEAIiEmZhc3QgZm9vZCBuaWxhbWJ1cuABAA!16s%2Fg%2F11h0th2z7b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",Claim this business,Fast food restaurant,Specialty_Food,3.8,33.0,₹₹,Opens 5pm Mon,⋅ Opens 5pm Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:03
Pogo Fried Chicken Poggop,"SH28, near Jyothipadi - Aruvacode Road, Nilambur, Kerala 679329",097473 30882,"https://www.google.com/maps/place/Pogo+Fried+Chicken+Poggop/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63b260de933ef:0x54046a9c0b535c01!8m2!3d11.2726028!4d76.2200623!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG17CX3Sa2ogqopmVsrB6Hyy2e3zq8KWYEf0mvDIWEAIiEmZhc3QgZm9vZCBuaWxhbWJ1cuABAA!16s%2Fg%2F11vb0y53fs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",,Fast food restaurant,Specialty_Food,4.2,48.0,₹₹,Opens 12pm,Closed ⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:08
Cafe Latte™,"opp. Teak Museum & Bio-resources Nature Park, Nilambur, Kerala 679329",094951 93998,"https://www.google.com/maps/place/Cafe+Latte%E2%84%A2/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63db4a0583b21:0x174a60c9ebfa983f!8m2!3d11.3007209!4d76.2490066!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgELY29mZmVlX3Nob3CqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG17CX3Sa2ogqopmVsrB6Hyy2e3zq8KWYEf0mvDIWEAIiEmZhc3QgZm9vZCBuaWxhbWJ1cuABAA!16s%2Fg%2F11j5pxksyg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",thelattecafe.com,Coffee shop,Specialty_Food,4.8,484.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:13
FARSA RESTAURANT NILAMBUR,"Nilambur, Kerala 679329",085568 88666,"https://www.google.com/maps/place/FARSA+RESTAURANT+NILAMBUR/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63bf6e55a0471:0x411372a5620ee003!8m2!3d11.2692232!4d76.2150533!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgERaW5kaWFuX3Jlc3RhdXJhbnSqAV8KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG17CX3Sa2ogqopmVsrB6Hyy2e3zq8KWYEf0mvDIWEAIiEmZhc3QgZm9vZCBuaWxhbWJ1cuABAA!16s%2Fg%2F11pb1bn4c0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",farsagroup.com,Indian restaurant,Specialty_Food,4.1,3707.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:18
NILAMBUR FOOD,"Bungalow Road, Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/NILAMBUR+FOOD/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63b288a1befb9:0xe72971d175e5e988!8m2!3d11.2884207!4d76.2372567!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgENZm9vZF9wcm9kdWNlcqoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbXsJfdJraiCqimZWysHofLLZ7fOrwpZgR_Sa8MhYQAiISZmFzdCBmb29kIG5pbGFtYnVy4AEA!16s%2Fg%2F11n376mw4g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",nilamburfood.blogspot.com,Food producer,Specialty_Food,4.8,9.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,fast food nilambur,2025-08-10 06:01:22
Vitamin B.B.Q Restaurant,"Near, Vadapuram Brg, Vadapuram, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Vitamin+B.B.Q+Restaurant/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63b0060533d89:0xc7b11bc3945c4fbb!8m2!3d11.2625924!4d76.20381!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgERZmFtaWx5X3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRvUzJGc2NHeFJiVTQyWkVjMWQxWkhOV0ZTVldoYVZGVjBkRlV6WXhBQqoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbXsJfdJraiCqimZWysHofLLZ7fOrwpZgR_Sa8MhYQAiISZmFzdCBmb29kIG5pbGFtYnVy4AEA-gEECAAQLQ!16s%2Fg%2F11xfhfdqzy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",Claim this business,Family restaurant,Specialty_Food,4.1,17.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:27
Smiley Rest Co,"76HG+Q95 Smiley Restco, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Smiley+Rest+Co/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63bd8fcd699e9:0x1c9b85951ebdd1b1!8m2!3d11.2793929!4d76.2259954!15sChJmYXN0IGZvb2QgbmlsYW1idXKSARRmYXN0X2Zvb2RfcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbXsJfdJraiCqimZWysHofLLZ7fOrwpZgR_Sa8MhYQAiISZmFzdCBmb29kIG5pbGFtYnVy4AEA!16s%2Fg%2F11x79n5wbf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",Claim this business,Fast food restaurant,Specialty_Food,3.7,6.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:32
മസായി റെസ്റ്റോറന്റ്./Masai Restaurant Mooleapadam,"85JH+92Q, Kakkadampoyil Road Moolepadam Nilambur, Akampadam, Kerala 679329",094478 22026,"https://www.google.com/maps/place/%E0%B4%AE%E0%B4%B8%E0%B4%BE%E0%B4%AF%E0%B4%BF+%E0%B4%B1%E0%B5%86%E0%B4%B8%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%8B%E0%B4%B1%E0%B4%A8%E0%B5%8D%E0%B4%B1%E0%B5%8D.%2FMasai+Restaurant+Mooleapadam/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63fc3667a1cdb:0xac816cc65a07e3fd!8m2!3d11.3309712!4d76.1776011!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgEKcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbXsJfdJraiCqimZWysHofLLZ7fOrwpZgR_Sa8MhYQAiISZmFzdCBmb29kIG5pbGFtYnVy4AEA!16s%2Fg%2F11nxv7t7c9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",Claim this business,Restaurant,Specialty_Food,4.4,48.0,₹₹,Closes 9pm,⋅ Closes 9pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,,Not Available,,,fast food nilambur,2025-08-10 06:01:37
"Muzwalla Grill & Mandi, Nilambur","Janathappadi,opposit Little flower school, Mysuru - Ooty Rd, Nilambur, Kerala 679334",080781 00555,"https://www.google.com/maps/place/Muzwalla+Grill+%26+Mandi,+Nilambur/@11.2840075,76.0971769,12z/data=!4m11!1m3!2m2!1sfast+food+nilambur!6e5!3m6!1s0x3ba63b3799007c9b:0x4bb385b59f42840a!8m2!3d11.2817176!4d76.2321628!15sChJmYXN0IGZvb2QgbmlsYW1idXJaFCISZmFzdCBmb29kIG5pbGFtYnVykgEKcmVzdGF1cmFudKoBXwoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbXsJfdJraiCqimZWysHofLLZ7fOrwpZgR_Sa8MhYQAiISZmFzdCBmb29kIG5pbGFtYnVy4AEA!16s%2Fg%2F11n1txd6xb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+nilambur,"11.2840075, 76.0971769",,Restaurant,Specialty_Food,4.4,1073.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food nilambur,2025-08-10 06:01:41
