name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Safa restaurant,"QWMW+VFG, chavakkad road, CV jn, Ponnani, Kerala 679577",Local Guide · 104 reviews · 98 photos,"https://www.google.com/maps/place/Safa+restaurant/@10.7862322,75.8998304,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bbe7ff3e84ff:0xc2853dc6a6cb0ec8!8m2!3d10.7846775!4d75.9462148!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBEWZhbWlseV9yZXN0YXVyYW50qgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11rttzqp51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7862322, 75.8998304",Claim this business,Family restaurant,Specialty_Food,3.8,1121.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:13:40
Food Feast Restaurant,"Kuttikkad - Karma Rd, Kuttadu, Ponnani, Kerala 679577",088487 87987,"https://www.google.com/maps/place/Food+Feast+Restaurant/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bb59058e103b:0x2ccf63085504e0df!8m2!3d10.7900666!4d75.9389096!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBCnJlc3RhdXJhbnSqAV4KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nONgsSvanDmQmNjbtusm_O3saUtu_dV84SJTIVEAIiEWZhc3QgZm9vZCBwb25uYW5p4AEA!16s%2Fg%2F11t1c4gsxc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",infoodfeast.in,Restaurant,Specialty_Food,4.2,149.0,₹₹,Opens 12:30pm,Closed ⋅ Opens 12:30pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:13:44
Haneena Restaurant,"QWHF+F7F, Malappuram, Ponnani, Kerala 679583",,"https://www.google.com/maps/place/Haneena+Restaurant/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bb5ce90d9a8d:0xe620a47bc53387cf!8m2!3d10.7786746!4d75.9232074!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBCnJlc3RhdXJhbnSaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUllYemhhYnhBQqoBXgoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmc42CxK9qcOZCY2Nu26yb87expS2791XzhIlMhUQAiIRZmFzdCBmb29kIHBvbm5hbmngAQD6AQQIABAr!16s%2Fg%2F11rwssv21j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",,Restaurant,Specialty_Food,3.6,162.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:13:49
Nammal Hotel,"QW8G+7G8, Malappuram, Ponnani, Kerala 679586",080894 37225,"https://www.google.com/maps/place/Nammal+Hotel/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bb6bac2be00b:0xa33fe309c05c1fa8!8m2!3d10.7656656!4d75.9263436!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11c2kkypjz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",Claim this business,Fast food restaurant,Specialty_Food,3.7,21.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:13:54
Grillax Food Court,"Road, Purangu, Ponnani, Kerala 673001",075510 25974,"https://www.google.com/maps/place/Grillax+Food+Court/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bbd6d55f3439:0x1b8cbdf2cb78bf81!8m2!3d10.7619902!4d75.9536439!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11n15h_24h?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",Claim this business,Fast food restaurant,Specialty_Food,4.8,4.0,₹₹,,,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,,Not Available,,,fast food ponnani,2025-08-10 06:13:59
SNAXBAY RESTOCAFE,"10/64, Karma Rd, Easwaramnagalam, Ponnani, Chamravattom, Kerala 679577",090481 22666,"https://www.google.com/maps/place/SNAXBAY+RESTOCAFE/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bb6519e0eb07:0x87cd27c658a805b6!8m2!3d10.810051!4d75.9588532!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11vy2gj788?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",snaxbay.com,Fast food restaurant,Specialty_Food,4.6,80.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:14:04
Chaypp,"Karma Rd, Kailasam Kalam, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Chaypp/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bbdf13640641:0xe14a756d7c54614a!8m2!3d10.7866967!4d75.9313561!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11t7l1vlq8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",Claim this business,Fast food restaurant,Specialty_Food,4.7,19.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:14:08
Shawarma Shack,"C V, Junction, Kuttadu, Ponnani, Kerala 679577",070341 14307,"https://www.google.com/maps/place/Shawarma+Shack/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bbdb48f8e145:0xd3e6e8fe1b628608!8m2!3d10.7849688!4d75.945845!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBE3NoYXdhcm1hX3Jlc3RhdXJhbnSqAV4KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nONgsSvanDmQmNjbtusm_O3saUtu_dV84SJTIVEAIiEWZhc3QgZm9vZCBwb25uYW5p4AEA!16s%2Fg%2F11qqj92w_p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",instagram.com,Shawarma restaurant,Specialty_Food,4.1,169.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:14:13
Highway Restaurant,"QW3J+3FM, Puthuponnani, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Highway+Restaurant/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bbeb42dc84b1:0x8779c4b931860e32!8m2!3d10.7527071!4d75.9311841!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBCnJlc3RhdXJhbnSqAV4KCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nONgsSvanDmQmNjbtusm_O3saUtu_dV84SJTIVEAIiEWZhc3QgZm9vZCBwb25uYW5p4AEA!16s%2Fg%2F11rr7g0l_v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",Claim this business,Restaurant,Specialty_Food,3.8,11.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:14:18
"CALICUT EMPIRE,PONNANI","Ponnani, Kerala 679585",080898 24494,"https://www.google.com/maps/place/CALICUT+EMPIRE,PONNANI/@10.7900666,75.8668118,13z/data=!4m11!1m3!2m2!1sfast+food+ponnani!6e5!3m6!1s0x3ba7bb35b9afabc7:0xbb383e033bc272cd!8m2!3d10.7545571!4d75.9304812!15sChFmYXN0IGZvb2QgcG9ubmFuaVoTIhFmYXN0IGZvb2QgcG9ubmFuaZIBF3NvdXRoX2luZGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5DZFdNM1R6aG5SUkFCqgFeCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzjYLEr2pw5kJjY27brJvzt7GlLbv3VfOEiUyFRACIhFmYXN0IGZvb2QgcG9ubmFuaeABAPoBBAgWEEk!16s%2Fg%2F11rqy_jn1q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+ponnani,"10.7900666, 75.8668118",Claim this business,South Indian restaurant,Specialty_Food,3.2,622.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food ponnani,2025-08-10 06:14:23
