name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
T&T TIRUR,"Alinchuvad, SH 71, Tirur, Kerala 676101",098952 00213,"https://www.google.com/maps/place/T%26T+TIRUR/@10.88868,75.8848148,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b3a03b1eefad:0x85e12c0c2e4589f1!8m2!3d10.9306209!4d75.9327137!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11kbkgkpdg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.88868, 75.8848148",instagram.com,Fast food restaurant,Specialty_Food,4.0,876,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:06:52
ALBAIK.com,"Naduvilangadi, Tirur, Kerala 676107",073700 70700,"https://www.google.com/maps/place/ALBAIK.com/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b1880f9b7427:0xa915905a2f14bb58!8m2!3d10.9198897!4d75.9173251!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11rzwsrtsy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",al-baik.com,Fast food restaurant,Specialty_Food,4.5,478,₹₹,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:06:57
Khaleez Restaurant,"WW3C+9W4, near bharath petroleum, Pottathepadi, Tirur, Kerala 676101",090619 52007,"https://www.google.com/maps/place/Khaleez+Restaurant/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b10e93320597:0x1dbc30575ea8a237!8m2!3d10.9040914!4d75.9218889!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEZbWlkZGxlX2Vhc3Rlcm5fcmVzdGF1cmFudKoBXAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmc3y_Q9rcrRkEnnpdBpmZvjcI1hWGg18HyaxMhMQAiIPZmFzdCBmb29kIHRpcnVy4AEA!16s%2Fg%2F11h75_qrtf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",instagram.com,Middle Eastern restaurant,Specialty_Food,4.2,5397,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:02
Just Loaf,"Tirur - Vailathur Rd, Thazhepalam, Tirur, Kerala 676101",080709 09010,"https://www.google.com/maps/place/Just+Loaf/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b189f4e0fc9d:0xa2d211b0ebf1542!8m2!3d10.9216901!4d75.9290826!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgETYW1lcmljYW5fcmVzdGF1cmFudKoBXAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmc3y_Q9rcrRkEnnpdBpmZvjcI1hWGg18HyaxMhMQAiIPZmFzdCBmb29kIHRpcnVy4AEA!16s%2Fg%2F11gf98gncr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",justloaf.in,American restaurant,Specialty_Food,4.4,2226,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Unknown,Cool roadside eatery serving homemade burgers & steaks with varied sauces & other American classics.,no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:07
Sterling Fast Food,"WWM4+QWQ, Moochikel, Kerala 676109",,"https://www.google.com/maps/place/Sterling+Fast+Food/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b20f6cfaa7a9:0x4e54942afc59fd64!8m2!3d10.9344541!4d75.9073639!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11g88tsfl9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",Claim this business,Fast food restaurant,Specialty_Food,4.1,168,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:11
Eshal's Yummy Chapati Company ചപ്പാത്തി കമ്പനി,"Near Pookayil, Naduvilangadi, Tirur, Kerala 676107",097443 33191,"https://www.google.com/maps/place/Eshal's+Yummy+Chapati+Company+%E0%B4%9A%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%BE%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF+%E0%B4%95%E0%B4%AE%E0%B5%8D%E0%B4%AA%E0%B4%A8%E0%B4%BF/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b1b5f82e52f5:0x8976dc12669cc27d!8m2!3d10.9212252!4d75.9156781!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11f5tzlrw2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",Place an order,Fast food restaurant,Specialty_Food,4.3,87,₹₹,,,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:16
CHICK BROAST,"Vishwas, Tirur, Tirur, Kerala 676105",086209 06090,"https://www.google.com/maps/place/CHICK+BROAST/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b1748f440f47:0x188d437f1a43b263!8m2!3d10.8934573!4d75.9281113!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11rkn5yqkg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",,Fast food restaurant,Specialty_Food,4.5,82,₹₹,Opens 11am,Closed ⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:21
ChicKing,"pottathapadi, metro mart, Edappal - Tirur Rd, Tirur, Kerala 676101",090588 00800,"https://www.google.com/maps/place/ChicKing/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b16605a77a83:0x1a9526c9bb1f4f3d!8m2!3d10.9027078!4d75.9222089!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11gjhb66t0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",india.chickingdelivery.com,Fast food restaurant,Specialty_Food,4.1,1998,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:26
Chick Broast,"Poongotukulam - Paravanna Rd, Tirur, Kerala 676101",080785 04050,"https://www.google.com/maps/place/Chick+Broast/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b195df382471:0xdf4655934ff5c23!8m2!3d10.9089136!4d75.918634!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVwKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nN8v0Pa3K0ZBJ56XQaZmb43CNYVhoNfB8msTITEAIiD2Zhc3QgZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11h0_6rx4n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",,Fast food restaurant,Specialty_Food,4.1,54,₹₹,Opens 3pm,⋅ Opens 3pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food tirur,2025-08-10 06:07:31
Bytes Food Delivery Tirur,"Thazhepalam, Tirur, Kerala 676101",088910 08696,"https://www.google.com/maps/place/Bytes+Food+Delivery+Tirur/@10.9198897,75.8452273,13z/data=!4m11!1m3!2m2!1sfast+food+tirur!6e5!3m6!1s0x3ba7b1fccbcfbf45:0x1da60199fa0ea301!8m2!3d10.9135516!4d75.9190156!15sCg9mYXN0IGZvb2QgdGlydXJaESIPZmFzdCBmb29kIHRpcnVykgEQZGVsaXZlcnlfc2VydmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOV1oyVTJkR2QzUlJBQqoBZwoJL20vMDFfYmhzCggvbS8wMndibQoJL20vMDhzeXlzEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZzfL9D2tytGQSeel0GmZm-NwjWFYaDXwfJrEyExACIg9mYXN0IGZvb2QgdGlydXLgAQD6AQQIHBAx!16s%2Fg%2F11l6rrqrbd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirur,"10.9198897, 75.8452273",bytesdelivery.com,Delivery service,Specialty_Food,5.0,17,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,fast food tirur,2025-08-10 06:07:35
