name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Bites Foods,"2WRJ+9Q7, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Bites+Foods/@11.050249,75.9064057,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d003332c729:0x7263e92c5f5a9654!8m2!3d11.0409297!4d75.9318465!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgERZmFtaWx5X3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11wfjb33lz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.050249, 75.9064057",Claim this business,Family restaurant,Specialty_Food,4.9,7.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:02
Gusto Fried Chicken,"MAIN ROAD, Chemmad, Kerala 676306",085898 98006,"https://www.google.com/maps/place/Gusto+Fried+Chicken/@11.0429928,75.8759923,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d49d6e902a9:0x4fe876df3c6f16fa!8m2!3d11.0429928!4d75.9120412!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgESY2hpY2tlbl9yZXN0YXVyYW50qgFiCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHxABIhuZwLhOATGP4_a-fZ9aXEUoxewq7lhL34Up0qoyGRACIhVmYXN0IGZvb2QgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11h0_m32rd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.0429928, 75.8759923",,Chicken restaurant,Specialty_Food,4.0,209.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:07
Arabian Majlis,"SH 72, Tirurangadi, Kerala 676306",099867 00333,"https://www.google.com/maps/place/Arabian+Majlis/@11.0429928,75.8759923,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64dd90f955fa3:0xb675bbaa87ffa3ce!8m2!3d11.0410848!4d75.928757!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEZbWlkZGxlX2Vhc3Rlcm5fcmVzdGF1cmFudKoBYgoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmcC4TgExj-P2vn2fWlxFKMXsKu5YS9-FKdKqMhkQAiIVZmFzdCBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11q2q_7l90?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.0429928, 75.8759923",,Middle Eastern restaurant,Specialty_Food,3.9,507.0,₹₹,Closes 12am,Open ⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:12
Hot Wingz,"Opp: Homeland, Tirurangadi, Kerala 676306",098461 17799,"https://www.google.com/maps/place/Hot+Wingz/@11.0429928,75.8759923,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d3a6201bb13:0x852618a882ebb08d!8m2!3d11.0427445!4d75.9273197!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEKcmVzdGF1cmFudKoBYgoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmcC4TgExj-P2vn2fWlxFKMXsKu5YS9-FKdKqMhkQAiIVZmFzdCBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11lpnr__7d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.0429928, 75.8759923",whatshop.live,Restaurant,Specialty_Food,4.1,482.0,₹₹,Opens 3:30pm,⋅ Opens 3:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:17
Hotel Shaji,"Kakkad GMUP School Rd, Tirurangadi, Kakkad, Kerala 676306",,"https://www.google.com/maps/place/Hotel+Shaji/@11.036234,75.9011225,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d1853a58e37:0x8c36ba4f2cf11d9!8m2!3d11.036234!4d75.9371714!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11c1wvmc3b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.036234, 75.9011225",Claim this business,Fast food restaurant,Specialty_Food,3.2,145.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:21
Center Boofiya and Fast Fod,"Cherumukku, P.O, Tirurangadi, Nannambra, Kerala 676306",090616 99146,"https://www.google.com/maps/place/Center+Boofiya+and+Fast+Fod/@11.036234,75.9011225,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d24257bf8fb:0x1fe7fb9ad1494f97!8m2!3d11.0286736!4d75.923283!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11vt5mkcpy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.036234, 75.9011225",,Fast food restaurant,Specialty_Food,4.6,9.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:26
HOTEL GULF HUT,"Kakkad, Kerala 676306",079947 80100,"https://www.google.com/maps/place/HOTEL+GULF+HUT/@11.036234,75.9011225,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d189410f961:0xa6a23054944eae04!8m2!3d11.034829!4d75.9387433!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11c585z60f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.036234, 75.9011225",,Fast food restaurant,Specialty_Food,3.7,288.0,₹₹,Closes 12am,⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:31
BROASTKING,"TK Building, Near panampuzha bridge Room No: 18/308 Kolappuram South, PO, Abdul Rahiman Nagar, Kerala 676305",088023 32299,"https://www.google.com/maps/place/BROASTKING/@11.036234,75.9011225,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64d6491f18ce9:0x852e55bcc0fa6054!8m2!3d11.0466875!4d75.9334495!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11q8x768cq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.036234, 75.9011225",,Fast food restaurant,Specialty_Food,4.5,105.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:36
Boca Chicken,"kodakkallu, Calicut Airport Rd, Kondotty - Tirurangadi Rd, Kunnumpuram, Kerala 676305",,"https://www.google.com/maps/place/Boca+Chicken/@11.0783584,75.9138946,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64dc87b4bb33d:0xe994eb22cfadc5ed!8m2!3d11.0783584!4d75.9499435!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWIKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIfEAEiG5nAuE4BMY_j9r59n1pcRSjF7CruWEvfhSnSqjIZEAIiFWZhc3QgZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11xf1dwt8h?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.0783584, 75.9138946",,Fast food restaurant,Specialty_Food,3.7,26.0,₹₹,,,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:41
SR Restaurant,"Chemmad, Tirurangadi, Kerala 676306",080751 88451,"https://www.google.com/maps/place/SR+Restaurant/@11.0413008,75.8853785,14z/data=!4m11!1m3!2m2!1sfast+food+tirurangadi!6e5!3m6!1s0x3ba64df2b3724825:0x4bdfdaa44f07f477!8m2!3d11.0413008!4d75.9214274!15sChVmYXN0IGZvb2QgdGlydXJhbmdhZGlaFyIVZmFzdCBmb29kIHRpcnVyYW5nYWRpkgEKcmVzdGF1cmFudKoBYgoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh8QASIbmcC4TgExj-P2vn2fWlxFKMXsKu5YS9-FKdKqMhkQAiIVZmFzdCBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11stbgblnf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+tirurangadi,"11.0413008, 75.8853785",,Restaurant,Specialty_Food,4.7,156.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food tirurangadi,2025-08-10 06:25:45
