name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
ABAD Foods Malappuram,"Maliyakkal Building, Malappuram - Manjeri Rd, Up Hill, Kottaakunnu, Kerala 676505",090723 77610,"https://www.google.com/maps/place/ABAD+Foods+Malappuram/@11.0905737,75.7899042,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba64bed3513e1d5:0xadf1b987203368ce!8m2!3d11.0427114!4d76.0831071!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SARhmcm96ZW5fZm9vZF9tYW51ZmFjdHVyZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBhMDlZYTFSUkVBRaoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAPoBBAgAEDo!16s%2Fg%2F11mvvgd1px?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0905737, 75.7899042",abadfoods.com,Frozen food manufacturer,Wholesale_Frozen,4.8,255,₹₹,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:04
Frozen Pops Malappuram,"15/593 Y, Lower Floor,KPEES Avenue, Up Hill, Malappuram, Kerala 676505",0:04,"https://www.google.com/maps/place/Frozen+Pops+Malappuram/@11.0905737,75.7899042,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba64b81fbeac5ef:0x373e1e54909bbebe!8m2!3d11.0409798!4d76.0849092!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SAQ5pY2VfY3JlYW1fc2hvcKoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11n5ktdxsg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0905737, 75.7899042",,Ice cream shop,Wholesale_Frozen,4.8,43,₹₹,Opens 10:30am,⋅ Opens 10:30am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:09
ALTAJ FROZEN FOODS,"NH 66, Vettichira, Kurumbathur, Kerala 676552",094479 74496,"https://www.google.com/maps/place/ALTAJ+FROZEN+FOODS/@11.0905737,75.7899042,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba7b5498be41ca7:0x783bce1e2e94a8c0!8m2!3d10.9282796!4d76.0270806!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SARFmcm96ZW5fZm9vZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSR01Fb3RNRzEzUlJBQqoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAPoBBAgAEDU!16s%2Fg%2F11smgj2z1g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0905737, 75.7899042",,Frozen food store,Wholesale_Frozen,4.8,4,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:14
Fresh N Frozen pork stall,"Kavungal - Munduparamba Bypass Rd, Up Hill, Malappuram, Kerala 676509",094465 55711,"https://www.google.com/maps/place/Fresh+N+Frozen+pork+stall/@11.0905737,75.7899042,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba63585eaac0937:0x1f3ae9f894e7a594!8m2!3d11.0490362!4d76.0900052!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtkgENbWVhdF9wcm9kdWN0c6oBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11wts13dwm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0905737, 75.7899042",,Meat products store,Wholesale_Frozen,5.0,2,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,frozen food malappuram,2025-08-10 04:06:19
JamJoom Supermarket Malappuram,"Juma Masjid Complex, SH 71, Up Hill, Malappuram, Kerala 676505",0483 273 5566,"https://www.google.com/maps/place/JamJoom+Supermarket+Malappuram/@11.0905737,75.7899042,11z/data=!3m1!5s0x3ba64a9fb062c6d9:0xe7936e7e441caf60!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba64a9fba9938d3:0x1b85866554fb92d7!8m2!3d11.0425761!4d76.0835223!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F1hhhh3w3l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0905737, 75.7899042",jamjoomsouk.com,Supermarket,Wholesale_Frozen,4.2,2007,₹₹,Opens 7am,⋅ Opens 7am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:23
Malabar Natural Foods Pvt Ltd,"Plot No. 26, Kinfra Techno Industrial Park, Chelembra, P.O, Kakkanchery, Malappuram, Kerala 673636",075939 70960,"https://www.google.com/maps/place/Malabar+Natural+Foods+Pvt+Ltd/@11.2529572,75.5076752,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba659817885d221:0x758ebd0102911225!8m2!3d11.2529572!4d75.7960663!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SARdmb29kX3Byb2Nlc3NpbmdfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNdGVUWXRabVZCRUFFqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhtCHa5gF_sAHj--BhxM7mVibNaN7uBy_oqWOX0yGhACIhZmcm96ZW4gZm9vZCBtYWxhcHB1cmFt4AEA-gEECAAQJw!16s%2Fg%2F11g9jmg3_k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.2529572, 75.5076752",malabartreats.com,Food Processing Company,Wholesale_Frozen,3.6,10,₹₹,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:28
Chillax hygienic foods and vegetables,"Pazhamallur Rd, Samoosapadi, Malappuram, Kuruva, Kerala 676506",096057 20218,"https://www.google.com/maps/place/Chillax+hygienic+foods+and+vegetables/@11.0100164,75.8241612,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba7cb04c5c54bd7:0xb0b8255e7719db55!8m2!3d11.0100164!4d76.1125523!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SARFmcm96ZW5fZm9vZF9zdG9yZaoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11w30f8zs6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0100164, 75.8241612",,Frozen food store,Wholesale_Frozen,5.0,2,₹₹,,,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:33
JamJoom Hypermarket Malappuram,"Palakkad - Kozhikode Hwy, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",085920 44055,"https://www.google.com/maps/place/JamJoom+Hypermarket+Malappuram/@11.0100164,75.8241612,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba64b004b7c358b:0xc5f10b7b5dda888c!8m2!3d11.0510242!4d76.0740352!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11wpnmljmy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0100164, 75.8241612",jamjoomsouk.com,Hypermarket,Wholesale_Frozen,4.6,178,₹₹,Opens 8:30am,⋅ Opens 8:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:38
MOUZY BANANA AVIL MILK,"332C+292, Cheruparamb - Melmuri Rd, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/MOUZY+BANANA+AVIL+MILK/@11.0100164,75.8241612,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba64bb6326e4dcf:0x10eab4ecae755df3!8m2!3d11.0500234!4d76.0708967!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SAQ5pY2VfY3JlYW1fc2hvcKoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbQh2uYBf7AB4_vgYcTO5lYmzWje7gcv6Kljl9MhoQAiIWZnJvemVuIGZvb2QgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11pb8v0r4n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0100164, 75.8241612",mouzy.in,Ice cream shop,Wholesale_Frozen,4.1,763,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:42
KK Frozen Chicken Padaparambu malappuram road,"X4P5+772, Padaparamba, Kerala 679338",085471 23960,"https://www.google.com/maps/place/KK+Frozen+Chicken+Padaparambu+malappuram+road/@11.0100164,75.8241612,11z/data=!4m10!1m2!2m1!1sfrozen+food+malappuram!3m6!1s0x3ba7cbe00baf0385:0x7618d577c63a6192!8m2!3d10.9856308!4d76.1081418!15sChZmcm96ZW4gZm9vZCBtYWxhcHB1cmFtWhgiFmZyb3plbiBmb29kIG1hbGFwcHVyYW2SAQxjaGlja2VuX3Nob3CqAVoKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIfEAEiG0IdrmAX-wAeP74GHEzuZWJs1o3u4HL-ipY5fTIaEAIiFmZyb3plbiBmb29kIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11h764pkgx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+malappuram,"11.0100164, 75.8241612",Claim this business,Chicken shop,Wholesale_Frozen,5.0,7,₹₹,,,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,frozen food malappuram,2025-08-10 04:06:47
