name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Frozen pops,"QWPJ+JVW, Karma Rd, Kailasam Kalam, Keezhillam, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Frozen+pops/@10.7866487,75.3558962,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7bb6726a23179:0x15c705f93e4c1570!8m2!3d10.7866487!4d75.9326784!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQ5pY2VfY3JlYW1fc2hvcKoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11kpyx46v0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7866487, 75.3558962",Claim this business,Ice cream shop,Wholesale_Frozen,4.5,4.0,₹₹,,,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:17:58
Bistro Frozen,"Palakkad - Ponnani Rd, Ullanoor, Kerala 679534",088919 11772,"https://www.google.com/maps/place/Bistro+Frozen/@10.7866487,75.3558962,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7c7f55bf13bf9:0x516abce6f31ca624!8m2!3d10.7981128!4d76.1474228!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSARFmcm96ZW5fZm9vZF9zdG9yZaoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11vq292y4f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7866487, 75.3558962",,Frozen food store,Wholesale_Frozen,4.4,5.0,₹₹,Opens 8:30am Mon,⋅ Opens 8:30am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:03
ALTAJ FROZEN FOODS,"NH 66, Vettichira, Kurumbathur, Kerala 676552",094479 74496,"https://www.google.com/maps/place/ALTAJ+FROZEN+FOODS/@10.7866487,75.3558962,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7b5498be41ca7:0x783bce1e2e94a8c0!8m2!3d10.9282796!4d76.0270806!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSARFmcm96ZW5fZm9vZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSR01Fb3RNRzEzUlJBQqoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAPoBBAgAEDU!16s%2Fg%2F11smgj2z1g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7866487, 75.3558962",,Frozen food store,Wholesale_Frozen,4.8,4.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:08
Khaleej Hypermarket,"QWMW+W7H, Kuttadu, Ponnani, Kerala 679577",097454 49944,"https://www.google.com/maps/place/Khaleej+Hypermarket/@10.7866487,75.3558962,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7bb1faf0f99b1:0x26124034a0910ac4!8m2!3d10.7848186!4d75.9457408!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQtzdXBlcm1hcmtldKoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11h05btk24?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7866487, 75.3558962",Claim this business,Supermarket,Wholesale_Frozen,4.1,256.0,₹₹,Opens 7am,⋅ Opens 7am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:13
Swasraya Mall & Ponmax Hypermarket,"QWCP+W6J, NH 66, near Pallapram Bridge, Uroob Nagar, Overbridge, Keezhillam, Ponnani, Kerala 679577",073565 26526,"https://www.google.com/maps/place/Swasraya+Mall+%26+Ponmax+Hypermarket/@10.7866487,75.3558962,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7bb8918fc00c5:0xbe1392b9fd63dc0d!8m2!3d10.7723282!4d75.9355055!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQtoeXBlcm1hcmtldKoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11p64mn027?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7866487, 75.3558962",swasrayaponnani.com,Hypermarket,Wholesale_Frozen,4.3,7.0,₹₹,Open 24 hours,Open 24 hours,Yes,No,Yes,No,No,No,Unknown,Unknown,"·

In-store shopping
·

Delivery
",in-store shopping; delivery,,,Not Available,,,frozen food ponnani,2025-08-10 04:18:18
Calicut Frozen Foods,"7R9J+H2M, Kovoor, Chevayoor, Kozhikode, Kerala 673017",077367 42024,"https://www.google.com/maps/place/Calicut+Frozen+Foods/@11.2689595,75.2532611,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba65b006a3b9c09:0xb7339c0fbeff0a49!8m2!3d11.2689595!4d75.8300433!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0zTjJJM2JHNW5SUkFCqgFXCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhsiDVomKVr-g-GwTneaiXa0jy--7NVgmvEM5TcyFxACIhNmcm96ZW4gZm9vZCBwb25uYW5p4AEA-gEFCIgBEDU!16s%2Fg%2F11wb5rypcq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"11.2689595, 75.2532611",Claim this business,Grocery store,Wholesale_Frozen,4.7,3.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:22
IGLOO 'The farmer's market',"Opp. Govt.Law college C Mohammed Koya Haji building, Vellimadukunnu, Kozhikode, Kerala 673021",094469 82299,"https://www.google.com/maps/place/IGLOO+'The+farmer's+market'/@11.2689595,75.2532611,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba65dd7b40d8ae1:0x24f103c0e2dad556!8m2!3d11.2924815!4d75.8196081!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSARFmcm96ZW5fZm9vZF9zdG9yZaoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11qg241fxv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"11.2689595, 75.2532611",,Frozen food store,Wholesale_Frozen,5.0,36.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:27
Uri Traditional Foods,"Kuttikkad - Karma Rd, Keezhillam, Ponnani, Kerala 679577",097461 91347,"https://www.google.com/maps/place/Uri+Traditional+Foods/@10.7833923,75.3616123,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7bbc375450c9f:0xdfca5fd274c5630c!8m2!3d10.7833923!4d75.9383945!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFXCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhsiDVomKVr-g-GwTneaiXa0jy--7NVgmvEM5TcyFxACIhNmcm96ZW4gZm9vZCBwb25uYW5p4AEA!16s%2Fg%2F11fsyz3rjs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7833923, 75.3616123",instagram.com,Restaurant,Wholesale_Frozen,4.0,289.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:32
Arun Ice Cream PONNANI/hap daily,"near fish market,C V junction, Ponnani, Kerala",099618 51000,"https://www.google.com/maps/place/Arun+Ice+Cream+PONNANI%2Fhap+daily/@10.7833923,75.3616123,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba7bbaa22660a93:0xf428485ae15f0c78!8m2!3d10.7867497!4d75.947802!15sChNmcm96ZW4gZm9vZCBwb25uYW5pWhUiE2Zyb3plbiBmb29kIHBvbm5hbmmSAQ5pY2VfY3JlYW1fc2hvcKoBVwoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh8QASIbIg1aJila_oPhsE53mol2tI8vvuzVYJrxDOU3MhcQAiITZnJvemVuIGZvb2QgcG9ubmFuaeABAA!16s%2Fg%2F11gfmfc091?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"10.7833923, 75.3616123",hap.in,Ice cream shop,Wholesale_Frozen,4.3,72.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,frozen food ponnani,2025-08-10 04:18:37
AKAKAS FROZEN FOODS,"B No. 7/2/A, Kakkuzhipalam Karuvissery, P.O, Karaparamba, Kozhikode, Kerala 673005",,"https://www.google.com/maps/place/AKAKAS+FROZEN+FOODS/@11.3013685,75.2020566,10z/data=!4m11!1m3!2m2!1sfrozen+food+ponnani!6e6!3m6!1s0x3ba65f33b9bfcf79:0x9fb2b7959f882e2f!8m2!3d11.3013685!4d75.7788388!15sChNmcm96ZW4gZm9vZCBwb25uYW5pkgERZnJvemVuX2Zvb2Rfc3RvcmWqAVcKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIfEAEiGyINWiYpWv6D4bBOd5qJdrSPL77s1WCa8QzlNzIXEAIiE2Zyb3plbiBmb29kIHBvbm5hbmngAQA!16s%2Fg%2F11x84qw513?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+ponnani,"11.3013685, 75.2020566",,Frozen food store,Wholesale_Frozen,5.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,frozen food ponnani,2025-08-10 04:18:41
