name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Pepco Foods India Private Limited,"Alloor , Thekkummuri, Pepco Building, X/86A, PO, Tirur, Kerala 676551",0494 294 2020,"https://www.google.com/maps/place/Pepco+Foods+India+Private+Limited/@11.0957999,75.7585304,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b16dcf6e089b:0xb4fe527602b1e58f!8m2!3d10.8992078!4d75.9813849!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBDG1hbnVmYWN0dXJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVWNHSkxTR05SRUFFqgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAPoBBAgAECI!16s%2Fg%2F11swjxnng5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"11.0957999, 75.7585304",pepcofoods.com,Manufacturer,Wholesale_Frozen,4.8,16.0,₹₹,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,frozen food tirur,2025-08-10 04:11:38
JESMIS FOOD'S,"Park, Pachatiri Near, Noor Lake Road, Tirur, Kerala 676105",096331 01202,"https://www.google.com/maps/place/JESMIS+FOOD'S/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b181a5b3577f:0xf99cc4746937d2f6!8m2!3d10.9064284!4d75.9091534!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBCnJlc3RhdXJhbnSqAVUKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIfEAEiGyG43ggAVQ5JYkyNkA3wEDnpKYCgNqFUsClylTIVEAIiEWZyb3plbiBmb29kIHRpcnVy4AEA!16s%2Fg%2F11mw0h5_x7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",Menu,Restaurant,Wholesale_Frozen,4.6,47.0,₹₹,Opens 8am Mon,Closed ⋅ Opens 8am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:11:43
Hotchops Premier Foods LLP,"Unniyal Rd, Pookkayil, Tirur, Kerala 676107",,"https://www.google.com/maps/place/Hotchops+Premier+Foods+LLP/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b3b69ff16c7f:0xfd51e38c45d9ab93!8m2!3d10.9249295!4d75.910022!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBDW1lYXRfcHJvZHVjdHOqAVUKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIfEAEiGyG43ggAVQ5JYkyNkA3wEDnpKYCgNqFUsClylTIVEAIiEWZyb3plbiBmb29kIHRpcnVy4AEA!16s%2Fg%2F11k3tvmnmb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",indiamart.com,Meat products store,Wholesale_Frozen,4.8,4.0,₹₹,Opens 8am Mon,Closed ⋅ Opens 8am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,frozen food tirur,2025-08-10 04:11:47
Just Loaf,"Tirur - Vailathur Rd, Thazhepalam, Tirur, Kerala 676101",080709 09010,"https://www.google.com/maps/place/Just+Loaf/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b189f4e0fc9d:0xa2d211b0ebf1542!8m2!3d10.9216901!4d75.9290826!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnSqAVUKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIfEAEiGyG43ggAVQ5JYkyNkA3wEDnpKYCgNqFUsClylTIVEAIiEWZyb3plbiBmb29kIHRpcnVy4AEA!16s%2Fg%2F11gf98gncr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",justloaf.in,American restaurant,Wholesale_Frozen,4.4,2226.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Unknown,Cool roadside eatery serving homemade burgers & steaks with varied sauces & other American classics.,no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:11:52
ALTAJ FROZEN FOODS,"NH 66, Vettichira, Kurumbathur, Kerala 676552",094479 74496,"https://www.google.com/maps/place/ALTAJ+FROZEN+FOODS/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b5498be41ca7:0x783bce1e2e94a8c0!8m2!3d10.9282796!4d76.0270806!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBEWZyb3plbl9mb29kX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJHTUVvdE1HMTNSUkFCqgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAPoBBAgAEDU!16s%2Fg%2F11smgj2z1g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",,Frozen food store,Wholesale_Frozen,4.8,4.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:11:57
Fresh Day Hypermarket,"city junction, SH 71, Chembra, Tirur, Kerala 676101",0494 242 4277,"https://www.google.com/maps/place/Fresh+Day+Hypermarket/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b1f323dbc7e3:0xa3388838ca0c41f2!8m2!3d10.914888!4d75.9221568!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBC2h5cGVybWFya2V0qgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11bz0cg7jv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",,Hypermarket,Wholesale_Frozen,4.1,1303.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:12:02
TOPMIE AGRO FOODS PRIVATE LIMITED,"KPM ARCADE, 8/345, beside A.M.L.P School, Pakara, Tirur, Kerala 676307",080895 38089,"https://www.google.com/maps/place/TOPMIE+AGRO+FOODS+PRIVATE+LIMITED/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b37f97acf7dd:0x8dbedda024e945a!8m2!3d10.9534821!4d75.9230237!15sChFmcm96ZW4gZm9vZCB0aXJ1cpIBEWZvb2RfbWFudWZhY3R1cmVyqgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11lcrzw9j5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",topmie.co.in,Food manufacturer,Wholesale_Frozen,5.0,13.0,₹₹,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,5.0,Not Available,,,frozen food tirur,2025-08-10 04:12:07
Nesto Hypermarket Tirur,"WW5C+34R, Kuttippuram Road, Poongotukulam - Paravanna Rd, Tirur, Kerala 676101",087149 42221,"https://www.google.com/maps/place/Nesto+Hypermarket+Tirur/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b1ca7c3aa481:0xd60fef9cd85fae0b!8m2!3d10.9076321!4d75.9200925!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBC2h5cGVybWFya2V0qgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11y20z2rb_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",,Hypermarket,Wholesale_Frozen,3.8,595.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:12:11
AAK Hypermarket,"Tirur - Kadalundi Rd, Naduvilangadi, Tirur, Kerala 676101",0494 243 3553,"https://www.google.com/maps/place/AAK+Hypermarket/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b1588e9e5c61:0x3daa1d5d7234541e!8m2!3d10.9187805!4d75.9178906!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBC2h5cGVybWFya2V0qgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11j4h7cpjr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",aakhyper.in,Hypermarket,Wholesale_Frozen,4.2,536.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:12:16
MEMORICE TIRUR,"Ring Road, Tirur, Kerala 676101",099468 02070,"https://www.google.com/maps/place/MEMORICE+TIRUR/@10.9064284,75.6207623,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirur!6e6!3m6!1s0x3ba7b1a464d28d93:0x5e877ffeb53abbad!8m2!3d10.9187227!4d75.9267704!15sChFmcm96ZW4gZm9vZCB0aXJ1cloTIhFmcm96ZW4gZm9vZCB0aXJ1cpIBDmljZV9jcmVhbV9zaG9wqgFVCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHxABIhshuN4IAFUOSWJMjZAN8BA56SmAoDahVLApcpUyFRACIhFmcm96ZW4gZm9vZCB0aXJ1cuABAA!16s%2Fg%2F11mv4xgbg1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirur,"10.9064284, 75.6207623",instagram.com,Ice cream shop,Wholesale_Frozen,4.6,138.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,frozen food tirur,2025-08-10 04:12:21
