name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
ALTAJ FROZEN FOODS,"NH 66, Vettichira, Kurumbathur, Kerala 676552",094479 74496,"https://www.google.com/maps/place/ALTAJ+FROZEN+FOODS/@11.1103357,75.7320037,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba7b5498be41ca7:0x783bce1e2e94a8c0!8m2!3d10.9282796!4d76.0270806!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBEWZyb3plbl9mb29kX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJHTUVvdE1HMTNSUkFCqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHhABIhpAiO99v96b-4nOiSs3IiJrxVanp7A0h8i-XDIbEAIiF2Zyb3plbiBmb29kIHRpcnVyYW5nYWRp4AEA-gEECAAQNQ!16s%2Fg%2F11smgj2z1g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.1103357, 75.7320037",,Frozen food store,Wholesale_Frozen,4.8,4.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:21:44
Yara Hyper,"2WVG+CM2, SH 72, Tirurangadi, Kerala 676306",090618 77774,"https://www.google.com/maps/place/Yara+Hyper/@11.1103357,75.7320037,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d126f8aab4f:0x4f4b4f40c05479fa!8m2!3d11.0434155!4d75.9267254!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVoKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIeEAEiGkCI732_3pv7ic6JKzciImvFVqensDSHyL5cMhsQAiIXZnJvemVuIGZvb2QgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11c1nw1c05?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.1103357, 75.7320037",yarahyper-offer.web.app,Grocery store,Wholesale_Frozen,4.1,1283.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:21:49
Hot Wingz,"Opp: Homeland, Tirurangadi, Kerala 676306",098461 17799,"https://www.google.com/maps/place/Hot+Wingz/@11.1103357,75.7320037,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d3a6201bb13:0x852618a882ebb08d!8m2!3d11.0427445!4d75.9273197!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBCnJlc3RhdXJhbnSqAVoKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIeEAEiGkCI732_3pv7ic6JKzciImvFVqensDSHyL5cMhsQAiIXZnJvemVuIGZvb2QgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11lpnr__7d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.1103357, 75.7320037",whatshop.live,Restaurant,Wholesale_Frozen,4.1,482.0,₹₹,Opens 3:30pm,⋅ Opens 3:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:21:54
Gusto Fried Chicken,"MAIN ROAD, Chemmad, Kerala 676306",085898 98006,"https://www.google.com/maps/place/Gusto+Fried+Chicken/@11.1103357,75.7320037,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d49d6e902a9:0x4fe876df3c6f16fa!8m2!3d11.0429928!4d75.9120412!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBEmNoaWNrZW5fcmVzdGF1cmFudKoBWgoIL20vMDJ3Ym0QASoPIgtmcm96ZW4gZm9vZCgAMh4QASIaQIjvfb_em_uJzokrNyIia8VWp6ewNIfIvlwyGxACIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11h0_m32rd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.1103357, 75.7320037",,Chicken restaurant,Wholesale_Frozen,4.0,209.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:21:59
AMUL MR FALOODA,"2WRH+CHQ, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/AMUL+MR+FALOODA/@11.1103357,75.7320037,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d0074d763cf:0x3c548e3518286ed5!8m2!3d11.0410384!4d75.9290376!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBDmljZV9jcmVhbV9zaG9wqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHhABIhpAiO99v96b-4nOiSs3IiJrxVanp7A0h8i-XDIbEAIiF2Zyb3plbiBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11lp2zsgg6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.1103357, 75.7320037",amul.com,Ice cream shop,Wholesale_Frozen,4.1,17.0,₹₹,,,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:03
IGLOO 'The farmer's market',"Opp. Govt.Law college C Mohammed Koya Haji building, Vellimadukunnu, Kozhikode, Kerala 673021",094469 82299,"https://www.google.com/maps/place/IGLOO+'The+farmer's+market'/@11.2924815,75.531217,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba65dd7b40d8ae1:0x24f103c0e2dad556!8m2!3d11.2924815!4d75.8196081!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBEWZyb3plbl9mb29kX3N0b3JlqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHhABIhpAiO99v96b-4nOiSs3IiJrxVanp7A0h8i-XDIbEAIiF2Zyb3plbiBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11qg241fxv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.2924815, 75.531217",,Frozen food store,Wholesale_Frozen,5.0,36.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:08
Calicut Frozen Foods,"7R9J+H2M, Kovoor, Chevayoor, Kozhikode, Kerala 673017",077367 42024,"https://www.google.com/maps/place/Calicut+Frozen+Foods/@11.2924815,75.531217,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba65b006a3b9c09:0xb7339c0fbeff0a49!8m2!3d11.2689595!4d75.8300433!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNOMkkzYkc1blJSQUKqAVoKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIeEAEiGkCI732_3pv7ic6JKzciImvFVqensDSHyL5cMhsQAiIXZnJvemVuIGZvb2QgdGlydXJhbmdhZGngAQD6AQUIiAEQNQ!16s%2Fg%2F11wb5rypcq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.2924815, 75.531217",Claim this business,Grocery store,Wholesale_Frozen,4.7,3.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:13
FIA FROZEN FOODS,"6QRJ+MV, Thekepuram, Kuttichira, Kozhikode, Kerala 673003",073068 28801,"https://www.google.com/maps/place/FIA+FROZEN+FOODS/@11.2924815,75.531217,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba6593b3afa9a3f:0xf29bc80c158c284a!8m2!3d11.2416365!4d75.7821684!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBBXN0b3JlqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHhABIhpAiO99v96b-4nOiSs3IiJrxVanp7A0h8i-XDIbEAIiF2Zyb3plbiBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11rl64btdq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.2924815, 75.531217",Claim this business,Store,Wholesale_Frozen,4.7,9.0,₹₹,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:18
VARIETY FOODS,"2W8X+RM9, Venniyour, Kerala 676508",,"https://www.google.com/maps/place/VARIETY+FOODS/@11.0170327,75.66083,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d000fd85ba9:0x56a9ed3f7c14ef4d!8m2!3d11.0170327!4d75.9492211!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBEWZyb3plbl9mb29kX3N0b3JlqgFaCggvbS8wMndibRABKg8iC2Zyb3plbiBmb29kKAAyHhABIhpAiO99v96b-4nOiSs3IiJrxVanp7A0h8i-XDIbEAIiF2Zyb3plbiBmb29kIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11yfck09vp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.0170327, 75.66083",Claim this business,Frozen food store,Wholesale_Frozen,4.8,,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:22
Cookies Restaurant,"Thaikkatt Complex, Kakkad, Tirurangadi, Kakkad, Kerala 676306",090616 67322,"https://www.google.com/maps/place/Cookies+Restaurant/@11.0170327,75.66083,11z/data=!4m11!1m3!2m2!1sfrozen+food+tirurangadi!6e6!3m6!1s0x3ba64d90d349983d:0xff5381eefc951913!8m2!3d11.037097!4d75.9363971!15sChdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaVoZIhdmcm96ZW4gZm9vZCB0aXJ1cmFuZ2FkaZIBCnJlc3RhdXJhbnSqAVoKCC9tLzAyd2JtEAEqDyILZnJvemVuIGZvb2QoADIeEAEiGkCI732_3pv7ic6JKzciImvFVqensDSHyL5cMhsQAiIXZnJvemVuIGZvb2QgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11vysl_d6f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",frozen+food+tirurangadi,"11.0170327, 75.66083",cookiesbakes.in,Restaurant,Wholesale_Frozen,4.1,34.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,frozen food tirurangadi,2025-08-10 04:22:27
