name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Ripi Foods,"St Marvs Church, Kumankulam junction, wandoor road, opposite Manjeri, Elankur, Kerala 676123",,"https://www.google.com/maps/place/Ripi+Foods/@11.1313662,76.0798658,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba63754855e7b67:0x1e2f5d29e18d19c!8m2!3d11.142136!4d76.1338334!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEWZm9vZF9wcm9kdWN0c19zdXBwbGllcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNVNVVmRHU2pWbGJsRTBaRmRzYUZWRWJFOVphM042VjJwc1JtVnNSUkFCqgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA-gEECAAQGQ!16s%2Fg%2F11yct0m10r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1313662, 76.0798658",,Food products supplier,Wholesale_Frozen,5.0,3.0,₹200–400,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:18
MJF COMPANY -MANJERI WHOLESALE FISH MARKET - MJF COMPANY,"Industrial Estate Cross Rd, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/MJF+COMPANY+-MANJERI+WHOLESALE+FISH+MARKET+-+MJF+COMPANY/@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba63748444aba6b:0x731367125eb8e876!8m2!3d11.1192516!4d76.1184207!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEOc2VhZm9vZF9tYXJrZXSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTJPRkJ4V0UxbkVBRaoBYwoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHhABIhpmqlyrUmkL3PbX1As3EhVH98lZbZsr-gFr0DIcEAIiGHdob2xlc2FsZSBzbmFja3MgbWFuamVyaeABAPoBBAgAEB8!16s%2Fg%2F11smglxxg7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",,Seafood market,Wholesale_Frozen,4.2,56.0,₹200–400,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:23
Cafe Al Bacio,"Kozhikode-Malappuram Bypass, Thurakkal, Manjeri, Kerala 676121",075107 68000,"https://www.google.com/maps/place/Cafe+Al+Bacio/@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba637b5a990b4db:0xa402c68b87b2c41d!8m2!3d11.1202907!4d76.1103994!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEJY2FrZV9zaG9wqgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA!16s%2Fg%2F11fj0jtkvk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",cafealbacio.com,Cake shop,Wholesale_Frozen,4.5,100.0,₹200–400,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:27
Choco Wheels Dates & Nuts,"Pandikkad Road, Vellarangal, Manjeri, Kerala 676123",099957 08869,"https://www.google.com/maps/place/Choco+Wheels+Dates+%26+Nuts/@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba637c75a73e351:0x9b307754d620657b!8m2!3d11.1201123!4d76.1213175!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEOY2hvY29sYXRlX3Nob3CqAWMKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMh4QASIaZqpcq1JpC9z219QLNxIVR_fJWW2bK_oBa9AyHBACIhh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmngAQA!16s%2Fg%2F11g1pq6b12?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",dotpe.in,Chocolate shop,Wholesale_Frozen,4.9,111.0,₹200–400,Opens 9am,⋅ Opens 9am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:32
KC Fruits & Co,"Manjeri, Kerala 676123",,"https://www.google.com/maps/place/KC+Fruits+%26+Co/@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba63753c488eee5:0x798c3635cff878c0!8m2!3d11.139431!4d76.1181615!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEKd2hvbGVzYWxlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbGFFbFVUVXRSRUFFqgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA-gEECAAQJw!16s%2Fg%2F11h1kcvh2p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",,Wholesaler,Wholesale_Frozen,4.6,27.0,₹200–400,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:37
Supernova Pvt. Ltd.,"Supernova Building, Malamkulam, Manjeri, Kerala 676122",099464 42222,"https://www.google.com/maps/place/Supernova+Pvt.+Ltd./@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba636626a148ac1:0xb8547fb1a80278f8!8m2!3d11.1231464!4d76.13177!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEWZm9vZF9wcm9kdWN0c19zdXBwbGllcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VScE5tVmhVVFJuUlJBQqoBYwoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHhABIhpmqlyrUmkL3PbX1As3EhVH98lZbZsr-gFr0DIcEAIiGHdob2xlc2FsZSBzbmFja3MgbWFuamVyaeABAPoBBAgAEBE!16s%2Fg%2F1pycyhjqf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",supernovafoods.com,Food products supplier,Wholesale_Frozen,4.5,32.0,₹200–400,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:42
PKM sweets,"Vellarangal, Manjeri, Kerala 676121",097463 00794,"https://www.google.com/maps/place/PKM+sweets/@11.1192516,76.0463229,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba6367aae80f699:0x2acda2ae5146897c!8m2!3d11.1192082!4d76.1209346!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmmSARB3aG9sZXNhbGVfYmFrZXJ5qgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA!16s%2Fg%2F11f03w18cx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1192516, 76.0463229",,Wholesale bakery,Wholesale_Frozen,5.0,1.0,₹200–400,Opens 6am,Closed ⋅ Opens 6am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:47
BRK TRADERS,"5545, Manjeri Road, PWF, Elankur, Manjeri, Kerala 676122",096563 20313,"https://www.google.com/maps/place/BRK+TRADERS/@11.1564532,76.0879311,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba6371894301e5f:0xa6636060871a87ec!8m2!3d11.1564532!4d76.1600289!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmmSARB3aG9sZXNhbGVfYmFrZXJ5qgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA!16s%2Fg%2F11rpdd728k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1564532, 76.0879311",,Wholesale bakery,Wholesale_Frozen,5.0,2.0,₹200–400,Opens 6:30am,⋅ Opens 6:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,703494.0,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:51
Golden Bakery & Halwa Stall,"city tower, Kuthukal, Manjeri, Kerala 676123",097463 10555,"https://www.google.com/maps/place/Golden+Bakery+%26+Halwa+Stall/@11.1204646,76.0488593,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba636655b065b47:0x6af061667c06e1ed!8m2!3d11.1204646!4d76.1209571!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgEQd2hvbGVzYWxlX2Jha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSmFVeHVNV0puRUFFqgFjCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIeEAEiGmaqXKtSaQvc9tfUCzcSFUf3yVltmyv6AWvQMhwQAiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJp4AEA-gEECAAQHw!16s%2Fg%2F11g72cb_38?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1204646, 76.0488593",,Wholesale bakery,Wholesale_Frozen,4.7,3.0,₹200–400,Opens 7:30am,⋅ Opens 7:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks manjeri,2025-08-10 03:56:56
Budget Daily Fresh,"445C+V82, IGBT Bus Stand Rd, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Daily+Fresh/@11.1204646,76.0488593,13z/data=!4m11!1m3!2m2!1swholesale+snacks+manjeri!6e6!3m6!1s0x3ba63678202336cb:0x4e2f07b8b4888c21!8m2!3d11.1096458!4d76.1207529!15sChh3aG9sZXNhbGUgc25hY2tzIG1hbmplcmlaGiIYd2hvbGVzYWxlIHNuYWNrcyBtYW5qZXJpkgENZ3JvY2VyeV9zdG9yZaoBYwoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHhABIhpmqlyrUmkL3PbX1As3EhVH98lZbZsr-gFr0DIcEAIiGHdob2xlc2FsZSBzbmFja3MgbWFuamVyaeABAA!16s%2Fg%2F11b77v5y80?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+manjeri,"11.1204646, 76.0488593",hyperbudget.in,Grocery store,Wholesale_Frozen,4.1,230.0,₹200–400,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,wholesale snacks manjeri,2025-08-10 03:57:01
