name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Raidhan Foods,"Parambilpeedika, Kakkathadom, Padikkal - Karuvankallu Rd, kakkathadam, Peruvallur, Kerala 676317",097787 17385,"https://www.google.com/maps/place/Raidhan+Foods/@11.109536,75.7693852,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64fdd51653a29:0x1fd91f6a8faee4e2!8m2!3d11.1087219!4d75.9341163!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSAQZiYWtlcnmqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMh8QASIbohoPGRzlHu9THbAdmGBNJMjRnb6k9Ep50vyBMiAQAiIcd2hvbGVzYWxlIHNuYWNrcyB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11s3vlf01s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.109536, 75.7693852",raidhan.com,Bakery and Cake Shop,Wholesale_Frozen,4.9,28.0,₹1–200,Opens 7am,⋅ Opens 7am,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:03:52
Nizam Traders NTS,"Putharikkal, Parappanangadi, Kerala 676303",099954 06062,"https://www.google.com/maps/place/Nizam+Traders+NTS/@11.0463331,75.5763607,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba652fa06eb0ce1:0xd80b296a501fd191!8m2!3d11.0463331!4d75.8647518!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSARR3aG9sZXNhbGVfZm9vZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGExbGxSak5uUlJBQqoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHxABIhuiGg8ZHOUe71MdsB2YYE0kyNGdvqT0SnnS_IEyIBACIhx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRp4AEA-gEECAAQMg!16s%2Fg%2F11c0pyywz0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0463331, 75.5763607",,Wholesale Food Store,Wholesale_Frozen,4.7,18.0,₹1–200,Opens 8:30am Mon,⋅ Opens 8:30am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:03:56
Noorani Nuts,"Nooranidates Tirurangadi, Tirurangadi, Kerala 676508",097441 80887,"https://www.google.com/maps/place/Noorani+Nuts/@11.0463331,75.5763607,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64d9cf1753fb5:0x70401067680fa784!8m2!3d11.0435474!4d75.9253977!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSAQ5jaG9jb2xhdGVfc2hvcKoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHxABIhuiGg8ZHOUe71MdsB2YYE0kyNGdvqT0SnnS_IEyIBACIhx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11y3_v41yy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0463331, 75.5763607",nooraninuts.com,Chocolate shop,Wholesale_Frozen,4.9,24.0,₹1–200,Opens 8am,Closed ⋅ Opens 8am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Kerbside pickup
·

Delivery
",delivery; kerbside pickup,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:01
AndSoOn,"1st Floor, Kudukengal Tower, PO, Kuttippala, Edarikode, Kerala 676106",089210 10827,"https://www.google.com/maps/place/AndSoOn/@11.0463331,75.5763607,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba7b3c669e6a297:0xc0c424b2296041be!8m2!3d10.9662044!4d75.9599303!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSAQ9kcnlfZnJ1aXRfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVhY0ZWWFdtbGlXRm95VFhwR2FrMTZVbFZpYkZaTFZXeEtWRTVYWXhBQqoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHxABIhuiGg8ZHOUe71MdsB2YYE0kyNGdvqT0SnnS_IEyIBACIhx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRp4AEA-gEFCKEBEDQ!16s%2Fg%2F11m6m2cyc1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0463331, 75.5763607",andsoon.in,Dry Fruit Store,Wholesale_Frozen,5.0,34.0,₹1–200,Open 24 hours,Open 24 hours,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:06
V I WHOLESALE STORE MONGAM,"Market Rd, Mongam, Kerala 673642 Near SBM Trading (FATHIMA COMPLEX, Mongam, Kerala 673642",097449 99499,"https://www.google.com/maps/place/V+I+WHOLESALE+STORE+MONGAM/@11.1333629,75.749156,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba6493795ee170d:0x3934ff51313a53b9!8m2!3d11.1333629!4d76.0375471!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSARB3aG9sZXNhbGVfbWFya2V0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZG5SNVIyWjNFQUWqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMh8QASIbohoPGRzlHu9THbAdmGBNJMjRnb6k9Ep50vyBMiAQAiIcd2hvbGVzYWxlIHNuYWNrcyB0aXJ1cmFuZ2FkaeABAPoBBAgAEB0!16s%2Fg%2F11splgt59y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.1333629, 75.749156",,Wholesale market,Wholesale_Frozen,4.6,19.0,₹1–200,Opens 6:30am,⋅ Opens 6:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:11
CRUST INDIAN BREADS,"chemmad road ,thalapara, thalapara, Kerala 676311",075107 83030,"https://www.google.com/maps/place/CRUST+INDIAN+BREADS/@11.0714666,75.6139904,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64d8a34198c3d:0x923b44855a83f537!8m2!3d11.0714666!4d75.9023815!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSARNuYXR1cmFsX2Zvb2RzX3N0b3JlqgFoCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIfEAEiG6IaDxkc5R7vUx2wHZhgTSTI0Z2-pPRKedL8gTIgEAIiHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11dxhh5ftk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0714666, 75.6139904",crustfoods.com,Natural goods store,Wholesale_Frozen,4.5,23.0,₹1–200,Opens 5am,⋅ Opens 5am,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:15
Bismi Trading Company,"Kolathuparamba, Othukkungal, Cherukunnu, Kerala 676528",070251 03103,"https://www.google.com/maps/place/Bismi+Trading+Company/@11.0714666,75.6139904,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64be4d6f54c6f:0x4574f7053fc2c5b2!8m2!3d11.0170433!4d76.0159385!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpkgEUd2hvbGVzYWxlX2Zvb2Rfc3RvcmWqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMh8QASIbohoPGRzlHu9THbAdmGBNJMjRnb6k9Ep50vyBMiAQAiIcd2hvbGVzYWxlIHNuYWNrcyB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11v3mhqy3w?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0714666, 75.6139904",,Wholesale Food Store,Wholesale_Frozen,4.2,5.0,₹1–200,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:20
New Orexis Bakery,"Valiyapeedika, Kunnumpuram, Kerala 676305",096563 58283,"https://www.google.com/maps/place/New+Orexis+Bakery/@11.0714666,75.6139904,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64d0493b347b3:0x32e4425c29936b89!8m2!3d11.0820385!4d75.950952!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSAQZiYWtlcnmqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMh8QASIbohoPGRzlHu9THbAdmGBNJMjRnb6k9Ep50vyBMiAQAiIcd2hvbGVzYWxlIHNuYWNrcyB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11h_4t0bl5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0714666, 75.6139904",facebook.com,Bakery and Cake Shop,Wholesale_Frozen,5.0,5.0,₹1–200,Opens 8am,⋅ Opens 8am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:25
FAITH SNACKS,"Padikkal, Chelari, Moonniyur, Kerala 676317",095626 03965,"https://www.google.com/maps/place/FAITH+SNACKS/@11.0714666,75.6139904,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba65341f8536b67:0x9bc7887678521627!8m2!3d11.096679!4d75.9018825!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpkgENZm9vZF9wcm9kdWNlcqoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHxABIhuiGg8ZHOUe71MdsB2YYE0kyNGdvqT0SnnS_IEyIBACIhx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11v05mjw9r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0714666, 75.6139904",instagram.com,Food producer,Wholesale_Frozen,4.9,,₹1–200,Opens 9am,Closed ⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:30
Parammal Traders,"23WC+FW8, Market Rd, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Parammal+Traders/@11.0461722,75.7839409,11z/data=!4m10!1m2!2m1!1swholesale+snacks+tirurangadi!3m6!1s0x3ba64a90c88372f3:0x3ffb9d1afa0a57e8!8m2!3d11.0461722!4d76.072332!15sChx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRpWh4iHHdob2xlc2FsZSBzbmFja3MgdGlydXJhbmdhZGmSARR3aG9sZXNhbGVfZm9vZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNGExbHhXSFYzUlJBQqoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyHxABIhuiGg8ZHOUe71MdsB2YYE0kyNGdvqT0SnnS_IEyIBACIhx3aG9sZXNhbGUgc25hY2tzIHRpcnVyYW5nYWRp4AEA-gEECAAQFA!16s%2Fg%2F11hd797vpd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+tirurangadi,"11.0461722, 75.7839409",Claim this business,Wholesale Food Store,Wholesale_Frozen,4.0,12.0,₹1–200,Opens 6am,⋅ Opens 6am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks tirurangadi,2025-08-10 04:04:34
