name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
TeaTime,"X68H+WXX, Chathalloor, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/TeaTime/@10.9676753,76.2079991,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd62130ae5a3:0xe5c2a9bfa2b9a62e!8m2!3d10.964344!4d76.2281393!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBGNhZmWqAU4QASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYJRTPYPLdyemLqeh5hL3Z74qr-27Iqp4W_MhsQAiIXdGVhIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11fnx7rqr9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9676753, 76.2079991",Find a table,Cafe,Food_Businesses,4.1,2530.0,₹200–400,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:42:48
Ochaya Perinthalmanna,"Kozhikkode - Palakkad Bypass Rd, near T&T, Kakkoth, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Ochaya+Perinthalmanna/@10.9676753,76.2079991,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cdfd845994df:0x31895d93a6cdcc8b!8m2!3d10.9856103!4d76.2304907!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVktaVWh0VUV0cE1tTnVZMEpCRUFFqgFOEAEqDCIIdGVhIHNob3AoADIfEAEiG4K2CUUz2Dy3cnpi6noeYS92e-Kq_tuyKqeFvzIbEAIiF3RlYSBzaG9wIHBlcmludGhhbG1hbm5h4AEA-gEECCMQMw!16s%2Fg%2F11xc_jxw7v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9676753, 76.2079991",ochaya.in,Tea store,Food_Businesses,4.7,18.0,₹200–400,1am,⋅ 1am ⋅ Reopens 3pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:42:53
Mr Chai,"Bypass Jn, Dubaipadi, Ponniakurussi, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Mr+Chai/@10.9676753,76.2079991,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cdcab641dfff:0xa1a29a3bf00fa067!8m2!3d10.9795549!4d76.2468468!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBGNhZmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTVNblZ1UlhoblJSQUKqAU4QASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYJRTPYPLdyemLqeh5hL3Z74qr-27Iqp4W_MhsQAiIXdGVhIHNob3AgcGVyaW50aGFsbWFubmHgAQD6AQQIABA6!16s%2Fg%2F11qqgjjj_p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9676753, 76.2079991",,Cafe,Food_Businesses,4.2,346.0,₹200–400,Opens 3pm,⋅ Opens 3pm,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:42:58
Melathra Tea Stall,"Ootty road, State Highway 39, Perinthalmanna, Kerala 679322",0:04,"https://www.google.com/maps/place/Melathra+Tea+Stall/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cdab51970af5:0xb02ae65fc8424c16!8m2!3d10.9758635!4d76.2252346!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCnJlc3RhdXJhbnSqAU4QASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYJRTPYPLdyemLqeh5hL3Z74qr-27Iqp4W_MhsQAiIXdGVhIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11c6rh25qh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",Claim this business,Restaurant,Food_Businesses,4.1,23.0,₹200–400,Opens 7am,⋅ Opens 7am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:03
Theyila cafe,"Perinthalmanna, Kerala 679332",0:04,"https://www.google.com/maps/place/Theyila+cafe/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd4a26730d71:0xe4957d8e45b42066!8m2!3d10.9875195!4d76.225235!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11wvkc0xp6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",,Tea store,Food_Businesses,4.0,7.0,₹200–400,1am,⋅ 1am ⋅ Reopens 2:30pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:08
Baboos Tea & Thattukada,"X6QG+8QM, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Baboos+Tea+%26+Thattukada/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd002db7b465:0xccb312ca2e39f3e5!8m2!3d10.9887135!4d76.2272659!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOZk5HOWxhM2gzUlJBQqoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAECs!16s%2Fg%2F11wvbfsrp3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",Claim this business,Tea store,Food_Businesses,5.0,3.0,₹200–400,Closes 3:30am,⋅ Closes 3:30am ⋅ Reopens 2:30pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:12
Tea Corner,"Corner Building, Vismaya Road, Padippura, Perinthalmanna, Kerala 679322",096560 35072,"https://www.google.com/maps/place/Tea+Corner/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd3bf50d3749:0x8cc398d7b8b31a17!8m2!3d10.9769559!4d76.2177877!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11ns7v32pm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",,Tea store,Food_Businesses,5.0,1.0,₹200–400,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:17
Moyitheente Chayakkada,"Kuttippara, Pathaikkara, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Moyitheente+Chayakkada/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cdd41a458a39:0x901d164dde7b7eed!8m2!3d10.9750332!4d76.2397889!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5HTTJVeU5tWlJFQUWqAU4QASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYJRTPYPLdyemLqeh5hL3Z74qr-27Iqp4W_MhsQAiIXdGVhIHNob3AgcGVyaW50aGFsbWFubmHgAQD6AQQIcBAr!16s%2Fg%2F11qg1942lm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",,Coffee shop,Food_Businesses,4.5,26.0,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:22
Matka chai,"Kozhikkode - Palakkad Bypass Rd, Ponniakurussi, Perinthalmanna, Kerala 679322",099468 35211,"https://www.google.com/maps/place/Matka+chai/@10.9758635,76.1891857,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd4865de3ab7:0x3f794df9c5adc740!8m2!3d10.986154!4d76.2375154!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBGNhZmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmtjR1JVWVZkQkVBRaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAhFEEA!16s%2Fg%2F11k6pv78n_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9758635, 76.1891857",,Cafe,Food_Businesses,4.1,488.0,₹200–400,Opens 9am,⋅ Opens 9am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:27
K K SONS TEA STALL,"K K Buildig, Near, Railway Station Road, Angadipuram, Perinthalmanna, Kerala 679321",099479 70078,"https://www.google.com/maps/place/K+K+SONS+TEA+STALL/@10.9784933,76.1722127,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7ccf60d079c9b:0x8a360202135bbda9!8m2!3d10.9784933!4d76.2082616!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11btrrcf38?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9784933, 76.1722127",,Tea store,Food_Businesses,4.0,9.0,₹200–400,Opens 6am,⋅ Opens 6am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:32
Vayaloram tea shop,"X6CC+P6G, Chathalloor, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Vayaloram+tea+shop/@10.9784933,76.1722127,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd809abad5f9:0x78bbd4cb2ee2ba84!8m2!3d10.9718038!4d76.2205733!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYVoZIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSMWFTMUVaM0pSUlJBQqoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEA4!16s%2Fg%2F11ll_f1kgp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9784933, 76.1722127",Claim this business,Tea store,Food_Businesses,4.6,5.0,₹200–400,Temporarily closed,Temporarily closed,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:37
Tea spot (hot and cool),"X6F8+JH6, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Tea+spot+(hot+and+cool)/@10.9784933,76.1722127,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd007c45cf5d:0x8717ee9c780b6e1c!8m2!3d10.9739271!4d76.2163144!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11vq16m254?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.9784933, 76.1722127",Claim this business,Tea store,Food_Businesses,5.0,1.0,₹200–400,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:41
Potheena,"X6PQ+6X2, Kozhikkode - Palakkad, Bypass Road, Ponniakurussi, Perinthalmanna, Kerala",,"https://www.google.com/maps/place/Potheena/@10.985519,76.2038444,14z/data=!4m11!1m3!2m2!1stea+shop+perinthalmanna!6e5!3m6!1s0x3ba7cd0060bfa7bf:0x9c8cc9a07c7a593!8m2!3d10.985519!4d76.2398933!15sChd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCXRlYV9zdG9yZaoBThABKgwiCHRlYSBzaG9wKAAyHxABIhuCtglFM9g8t3J6Yup6HmEvdnviqv7bsiqnhb8yGxACIhd0ZWEgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11xgkq8v23?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+perinthalmanna,"10.985519, 76.2038444",Claim this business,Tea store,Food_Businesses,5.0,1.0,₹200–400,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop perinthalmanna,2025-08-10 00:43:46
